"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.781358695453307E9,"2026-06-13 15:51:35.453 UTC+02:00"
"PAUSE",1.805864175001625E2,1.781358876039384E9,"2026-06-13 15:54:36.039 UTC+02:00"
