"time_acc","acc_x","acc_y","acc_z","time_gyro","gyro_x","gyro_y","gyro_z"
8.574166568E-4,1.908680878E0,-1.093790451E1,-8.951385498E-1,2.112416667E-3,3.062918484E-1,-4.131227434E-1,5.455825850E-2
1.090141665E-2,1.638343048E0,-1.091320587E1,-1.131197662E0,1.215641666E-2,3.550322354E-1,-5.849405527E-1,-3.381739138E-3
2.094441664E-2,1.034049683E0,-1.130479156E1,-1.339414673E0,2.219941665E-2,2.876607180E-1,-7.732041478E-1,-6.616729498E-2
3.098841663E-2,-1.392105103E-2,-1.242461288E1,-1.820364532E0,3.224341664E-2,2.274705917E-1,-8.402348161E-1,-1.137207001E-1
4.103141668E-2,-1.219364319E0,-1.369606888E1,-2.108814697E0,4.228641663E-2,1.949396133E-1,-7.036961317E-1,-1.723410785E-1
5.107541668E-2,-1.852996674E0,-1.426623322E1,-1.461410980E0,5.233041669E-2,1.010919362E-1,-5.874717832E-1,-2.748874426E-1
6.111841666E-2,-1.987117767E0,-1.424497742E1,-1.027613068E0,6.237341667E-2,-4.259842634E-2,-5.412886739E-1,-3.912503421E-1
7.116241666E-2,-1.821861420E0,-1.394021118E1,-8.360115051E-1,7.241741667E-2,-1.828649938E-1,-5.371578336E-1,-5.098510385E-1
8.120541665E-2,-1.602717133E0,-1.349114502E1,-3.954776001E-1,8.246041666E-2,-3.352846503E-1,-5.743652582E-1,-6.254742146E-1
9.124941664E-2,-1.901495819E0,-1.327080322E1,9.684860229E-2,9.250441665E-2,-5.537493229E-1,-6.568500400E-1,-7.127076387E-1
1.012924167E-1,-2.563269653E0,-1.300809952E1,6.827302551E-1,1.025474166E-1,-7.488613129E-1,-7.702908516E-1,-7.686513662E-1
1.113364167E-1,-2.828518066E0,-1.215128128E1,1.443598022E0,1.125914166E-1,-8.436602354E-1,-8.407058716E-1,-8.041190505E-1
1.213794167E-1,-2.736758881E0,-1.057940002E1,1.806144104E0,1.226344167E-1,-9.540930986E-1,-8.097203374E-1,-8.512488604E-1
1.314234167E-1,-2.728526001E0,-9.285490723E0,1.251996460E0,1.326784167E-1,-1.165678501E0,-6.923780441E-1,-9.039288163E-1
1.414664167E-1,-3.260070648E0,-8.827293549E0,6.545887756E-1,1.427214167E-1,-1.427569032E0,-4.202685356E-1,-9.608901739E-1
1.515104166E-1,-3.983067169E0,-8.785680084E0,6.505471802E-1,1.527654167E-1,-1.633041382E0,-1.929642558E-1,-1.042446852E0
1.615534166E-1,-4.499193878E0,-9.151968384E0,5.671705627E-1,1.628084166E-1,-1.789489627E0,-1.066444591E-1,-1.085447192E0
1.715974166E-1,-5.253325653E0,-9.732910309E0,5.688171387E-3,1.728524166E-1,-1.922406197E0,-8.040885627E-2,-9.686209559E-1
1.816414167E-1,-6.033652954E0,-1.048449738E1,-9.578581238E-1,1.828964166E-1,-2.029115915E0,-3.873062879E-2,-7.899992466E-1
1.916844167E-1,-6.315816193E0,-1.130539032E1,-1.520088959E0,1.929394167E-1,-2.032038927E0,1.123346575E-2,-6.331548095E-1
2.017274167E-1,-6.528823242E0,-1.207538910E1,-1.363364868E0,2.029824167E-1,-1.909203887E0,1.900851876E-1,-4.641756415E-1
2.117714167E-1,-6.922654266E0,-1.254451355E1,-9.279203796E-1,2.130264167E-1,-1.678222060E0,4.628567994E-1,-3.158673942E-1
2.218154166E-1,-7.129973145E0,-1.260393997E1,-6.894662476E-1,2.230704167E-1,-1.430449605E0,7.767593861E-1,-2.111627758E-1
2.318584166E-1,-6.921157379E0,-1.216475327E1,-6.366261292E-1,2.331134166E-1,-1.205939293E0,9.972943664E-1,-2.035370767E-1
2.419024166E-1,-6.275100861E0,-1.131092880E1,-4.345463562E-1,2.431574166E-1,-1.011243463E0,1.057863235E0,-3.316974938E-1
2.519454167E-1,-5.297483826E0,-1.025397675E1,-2.444416809E-1,2.532004167E-1,-8.879231811E-1,9.559903145E-1,-3.240129650E-1
2.619894167E-1,-4.139192505E0,-9.402098236E0,-5.556445312E-1,2.632444167E-1,-8.699718118E-1,7.635827661E-1,-1.620395184E-1
2.720324167E-1,-2.297422485E0,-8.701405334E0,-8.023315430E-1,2.732874167E-1,-8.582512736E-1,4.928011000E-1,-9.422637522E-2
2.820764167E-1,-7.396119690E-1,-8.607251129E0,-5.057981873E-1,2.833314167E-1,-8.408471942E-1,2.732557654E-1,-9.327769279E-2
2.921194166E-1,-8.397537231E-2,-8.632398834E0,-4.873864746E-1,2.933744167E-1,-8.310592771E-1,1.232020780E-1,-5.570395291E-2
3.021634166E-1,-3.285667419E-1,-8.515941010E0,-8.428971863E-1,3.034184166E-1,-8.807453513E-1,-5.210853368E-2,-3.125191852E-2
3.122064167E-1,-5.424719238E-1,-8.199349365E0,-1.654359741E0,3.134614166E-1,-9.981138110E-1,-3.149635792E-1,-1.566736586E-2
3.222504167E-1,-7.767347717E-1,-7.775879974E0,-2.156266022E0,3.235054167E-1,-1.097844958E0,-6.362572908E-1,-5.690716673E-3
3.322934167E-1,-8.196954346E-1,-7.554490356E0,-2.297123108E0,3.335484167E-1,-1.199621201E0,-9.479781985E-1,-1.635028422E-2
3.423374167E-1,-6.959028625E-1,-7.466772766E0,-2.482737122E0,3.435924167E-1,-1.296407580E0,-1.182595372E0,-7.177266479E-2
3.523804166E-1,-3.444337463E-1,-7.438930664E0,-2.560425568E0,3.536354167E-1,-1.391139150E0,-1.313692331E0,-1.731277853E-1
3.624244166E-1,-4.655319214E-2,-7.413633270E0,-2.552641754E0,3.636794167E-1,-1.460171342E0,-1.336731553E0,-2.961689234E-1
3.724674166E-1,1.210981750E-1,-7.354955292E0,-2.469564514E0,3.737224166E-1,-1.496408224E0,-1.293589830E0,-3.902469575E-1
3.825114167E-1,-1.002914429E-2,-7.201374664E0,-2.387984161E0,3.837664166E-1,-1.503068924E0,-1.287148118E0,-4.185690880E-1
3.925544167E-1,-2.710862732E-1,-7.089557190E0,-2.379002838E0,3.938094167E-1,-1.466199875E0,-1.330525994E0,-4.370056093E-1
4.025984167E-1,-5.453160095E-1,-6.748266907E0,-2.275567932E0,4.038534167E-1,-1.357299566E0,-1.301930308E0,-4.704245329E-1
4.126414167E-1,-1.036444702E0,-6.180497589E0,-2.001637573E0,4.138964167E-1,-1.184165597E0,-1.179695249E0,-5.124369264E-1
4.226854166E-1,-1.495390320E0,-5.694907379E0,-1.800006866E0,4.239404167E-1,-9.678094387E-1,-1.038682938E0,-5.413643718E-1
4.327284166E-1,-1.798659668E0,-5.209317169E0,-1.800306244E0,4.339834166E-1,-7.193122506E-1,-8.787890673E-1,-5.601055622E-1
