"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.289833337E-3,-4.893623657E0,-1.283251465E1,-5.941145325E-1
1.127183321E-2,-4.165537720E0,-1.244242584E1,-1.612746277E0
2.125383331E-2,-3.278332672E0,-1.178394516E1,-2.161205750E0
3.123683319E-2,-2.494412842E0,-1.110854965E1,-2.388882294E0
4.121883330E-2,-1.957479401E0,-1.079525116E1,-2.748135223E0
5.120183341E-2,-1.062939606E0,-1.018467087E1,-2.797233124E0
6.118383328E-2,3.540138245E-1,-9.484576721E0,-2.205962677E0
7.116583339E-2,1.779499512E0,-9.902357941E0,-1.685345306E0
8.114883327E-2,2.271676025E0,-1.052147049E1,-2.118394775E0
9.113083337E-2,1.838626556E0,-1.062939606E1,-2.644700317E0
1.011138333E-1,1.429377594E0,-1.026265869E1,-2.857557678E0
1.110958334E-1,1.059646454E0,-9.576934662E0,-3.054697723E0
1.210778332E-1,9.958790588E-1,-8.761879578E0,-2.746338959E0
1.310608333E-1,1.053958282E0,-8.191565552E0,-2.411784668E0
1.410428332E-1,6.429130554E-1,-7.581284637E0,-2.235301666E0
1.510258333E-1,-1.821711731E-1,-6.871760101E0,-2.048340454E0
1.610078332E-1,-9.210346985E-1,-6.337970123E0,-2.123035126E0
1.709898333E-1,-1.126557312E0,-6.025869141E0,-2.175575867E0
1.809728332E-1,-1.117575989E0,-5.839806061E0,-2.201621704E0
1.909548333E-1,-1.253193970E0,-5.606291656E0,-2.249372406E0
2.009378334E-1,-1.341660004E0,-5.723797302E0,-2.243085480E0
2.109198333E-1,-1.261576538E0,-6.024821320E0,-2.236349487E0
2.209018334E-1,-1.202599182E0,-6.416107635E0,-2.451901245E0
2.308848333E-1,-1.115031281E0,-6.809190216E0,-2.599494324E0
2.408668334E-1,-1.030307465E0,-7.014114075E0,-2.880609741E0
2.508498332E-1,-8.599617004E-1,-7.134164429E0,-3.100352783E0
2.608318334E-1,-8.396040344E-1,-7.171137543E0,-3.384461975E0
2.708138332E-1,-8.256829834E-1,-7.180717621E0,-3.826792145E0
2.807968333E-1,-6.017486572E-1,-7.317084045E0,-4.290228424E0
2.907788332E-1,-1.568737793E-1,-7.716303864E0,-4.750820618E0
3.007618333E-1,4.650828552E-1,-8.325237579E0,-5.188360748E0
3.107438332E-1,1.197360077E0,-9.028175812E0,-5.676495667E0
3.207268333E-1,1.814376984E0,-9.804311829E0,-5.989195404E0
3.307088334E-1,2.183659058E0,-1.047192352E1,-5.855972443E0
3.406908333E-1,2.436034241E0,-1.087398743E1,-5.557942200E0
3.506738334E-1,2.575544128E0,-1.090467361E1,-4.987628174E0
3.606558333E-1,2.573448486E0,-1.057715469E1,-4.717140656E0
3.706388334E-1,2.562521210E0,-9.957144012E0,-4.775968323E0
3.806208333E-1,2.474204865E0,-9.238189087E0,-4.796775055E0
3.906028334E-1,2.372266846E0,-8.308921509E0,-4.878056030E0
4.005858332E-1,2.182311859E0,-7.627239075E0,-4.719685364E0
4.105678333E-1,1.740879822E0,-7.742499390E0,-4.463418274E0
4.205508332E-1,1.330882416E0,-8.495283966E0,-4.017495575E0
4.305328333E-1,8.755293274E-1,-9.500743103E0,-3.351081390E0
4.405148332E-1,3.996688843E-2,-1.050739975E1,-2.562521210E0
4.504978333E-1,-1.319805450E0,-1.241892471E1,-1.890718231E0
4.604798332E-1,-2.612068176E0,-1.531076111E1,-1.026864624E0
4.704628333E-1,-4.261338501E0,-1.856529327E1,-1.032852173E-1
4.804448334E-1,-6.185137939E0,-2.128828079E1,-1.192570038E0
4.904268333E-1,-6.320007477E0,-2.078772171E1,-4.139791260E0
5.004098334E-1,-4.893773346E0,-1.414079407E1,-5.324727173E0
5.103918333E-1,-4.348307648E0,-8.940907288E0,-3.617227936E0
5.203748334E-1,-3.405418396E0,-6.540049896E0,-1.289119263E0
5.303568332E-1,-2.419119415E0,-5.016518097E0,2.954855347E-1
5.403388334E-1,-1.600172424E0,-4.129163361E0,1.395697632E0
5.503218332E-1,-7.905061340E-1,-3.788471832E0,2.423460388E0
5.603038333E-1,4.565505981E-2,-4.048630829E0,3.100801849E0
5.702868332E-1,7.463479614E-1,-4.686155090E0,3.182382202E0
5.802688333E-1,1.461261292E0,-5.624104614E0,3.080444183E0
5.902503750E-1,2.085463257E0,-7.172634430E0,2.847678223E0
6.002333749E-1,2.287093964E0,-9.434730377E0,2.352957001E0
6.102153750E-1,2.275567932E0,-1.161509628E1,1.498384094E0
6.201983751E-1,1.766177216E0,-1.307111847E1,3.607498169E-1
