"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.549389168E-1,-1.401339918E-1,-1.136010647E0,-9.052880108E-2
7.649209166E-1,-3.670944870E-1,-1.094321012E0,-3.369236887E-1
7.749029167E-1,-5.515761971E-1,-1.070950985E0,-5.497536659E-1
7.848849166E-1,-6.198987365E-1,-9.954026341E-1,-7.111471295E-1
7.948669167E-1,-5.453443527E-1,-8.174723387E-1,-8.093647361E-1
8.048479168E-1,-3.535028696E-1,-6.354838610E-1,-8.164518476E-1
8.148299167E-1,-7.886438072E-2,-4.520903230E-1,-7.030533552E-1
8.248119168E-1,2.803853154E-1,-2.324703783E-1,-5.169002414E-1
8.347939167E-1,6.337103844E-1,-1.447067112E-1,-2.846808732E-1
8.447759168E-1,1.011420965E0,-6.757715344E-2,-6.889628619E-2
8.547579166E-1,1.471185923E0,1.091195866E-1,8.898735791E-2
8.647399168E-1,1.879615068E0,3.609507680E-1,2.176213562E-1
8.747219166E-1,2.058150053E0,5.631291866E-1,3.481231630E-1
8.847039167E-1,1.773116946E0,4.466580153E-1,4.885224104E-1
8.946849166E-1,9.583407044E-1,-6.358844787E-2,6.002699733E-1
9.046669167E-1,-6.730212569E-1,-2.719865739E-1,5.834692121E-1
9.146489168E-1,-1.598010302E0,2.050958127E-1,2.078444511E-1
9.246309167E-1,-7.227031589E-1,9.177321196E-1,-1.402596384E-1
9.346129168E-1,5.193189979E-1,8.215179443E-1,-4.734101892E-1
9.445949167E-1,1.272915244E0,8.835006952E-1,-7.318247557E-1
9.545769168E-1,1.576544404E0,1.203629971E0,-6.972515583E-1
9.645589166E-1,1.459571481E0,1.399249196E0,-3.740325868E-1
9.745409167E-1,1.242556810E0,1.940544128E0,1.088017076E-1
9.845219166E-1,1.458050609E0,2.629633904E0,6.704798341E-1
9.945039167E-1,1.774638414E0,2.986344576E0,1.142747283E0
1.004485917E0,1.795352697E0,2.772665262E0,1.514229417E0
1.014467917E0,1.514123678E0,2.123566389E0,1.836801171E0
1.024449917E0,1.137699962E0,1.321142554E0,1.919628859E0
1.034431917E0,8.959919810E-1,4.373197854E-1,1.686383247E0
1.044413917E0,9.595139623E-1,-6.524555087E-1,1.297744513E0
1.054395917E0,1.284581065E0,-1.277989388E0,7.851920724E-1
1.064377917E0,1.611985445E0,-8.479305506E-1,3.038052022E-1
1.074359917E0,1.682415605E0,9.562952816E-2,6.310763955E-2
1.084340917E0,1.577002168E0,9.556153417E-1,-1.067888141E-1
1.094322917E0,1.450381637E0,1.219980121E0,-2.422835231E-1
1.104304917E0,1.377858281E0,1.131887436E0,-2.370265424E-1
1.114286917E0,1.397316337E0,9.281220436E-1,-1.799611300E-1
1.124268917E0,1.399816751E0,7.184363604E-1,-5.848871917E-2
1.134250917E0,1.398321390E0,5.758035779E-1,4.617138207E-2
1.144232917E0,1.362831354E0,5.654149652E-1,1.394849867E-1
1.154214917E0,1.297978044E0,6.847270131E-1,2.608364522E-1
1.164196917E0,1.274043560E0,8.358929753E-1,3.686472774E-1
1.174177917E0,1.264664412E0,1.025354266E0,4.832239449E-1
1.184159917E0,1.215615869E0,1.176735401E0,6.015461683E-1
1.194141917E0,1.129479647E0,1.124447107E0,6.512253284E-1
1.204123917E0,1.020459294E0,1.038288713E0,7.007369995E-1
1.214105917E0,9.492476583E-1,9.992195368E-1,7.223206162E-1
1.224087917E0,9.404678941E-1,9.836072922E-1,7.473926544E-1
1.234069917E0,9.611036181E-1,9.600689411E-1,7.726814747E-1
1.244051917E0,9.890417457E-1,8.841561079E-1,8.115713596E-1
1.254033917E0,1.006425858E0,7.352310419E-1,8.654606938E-1
1.264014917E0,9.931235909E-1,5.231376886E-1,9.378992319E-1
1.273996917E0,9.599927664E-1,3.770873249E-1,9.828161001E-1
1.283978917E0,9.024066329E-1,2.855940759E-1,9.605793953E-1
1.293960917E0,8.634355664E-1,3.033671975E-1,9.057781696E-1
1.303942917E0,8.303833008E-1,3.863884807E-1,8.318441510E-1
1.313924917E0,7.707564831E-1,5.237346292E-1,7.194521427E-1
1.323906917E0,6.897380948E-1,6.704832315E-1,5.768409371E-1
1.333888875E0,6.211805940E-1,7.722245455E-1,4.272539020E-1
1.343870875E0,5.562807918E-1,7.983005643E-1,2.972401679E-1
1.353852875E0,4.798661172E-1,7.753931284E-1,2.021224201E-1
1.363833875E0,3.895780444E-1,7.591139078E-1,1.256818026E-1
1.373815875E0,2.990742624E-1,7.358400226E-1,7.194346935E-2
1.383797875E0,2.250194103E-1,7.115402818E-1,5.994999036E-2
1.393779875E0,1.187576875E-1,6.219595671E-1,5.609346554E-2
1.403761875E0,1.518250629E-2,4.862165451E-1,7.206989080E-2
1.413743875E0,-3.829536587E-2,3.918429017E-1,8.863954991E-2
1.423725875E0,-6.830692291E-2,3.647910058E-1,1.126859188E-1
1.433707875E0,-1.224298105E-1,3.821790516E-1,1.245750710E-1
1.443689875E0,-2.141122520E-1,4.755308032E-1,8.142564446E-2
1.453670875E0,-3.183560967E-1,5.836527348E-1,-5.946814548E-3
1.463652875E0,-4.666805863E-1,6.608740091E-1,-1.167470962E-1
1.473634875E0,-7.035554051E-1,6.222137213E-1,-2.492486835E-1
1.483616875E0,-1.016510606E0,3.701184690E-1,-4.298923612E-1
1.493598875E0,-1.294328928E0,-7.578975707E-2,-6.278336644E-1
1.503580875E0,-1.491753221E0,-6.635338068E-1,-8.419907093E-1
1.513562875E0,-1.631742001E0,-1.226052284E0,-1.062274337E0
1.523544875E0,-1.893235564E0,-1.340341449E0,-1.261976838E0
1.533526875E0,-2.406728268E0,-9.811828136E-1,-1.435511827E0
1.543507875E0,-2.980164766E0,-5.420312881E-1,-1.459797740E0
1.553489875E0,-3.305126667E0,-1.583762914E-1,-1.394831777E0
1.563471875E0,-3.304761648E0,-2.466114461E-1,-1.334477782E0
1.573453875E0,-3.034287453E0,-6.623542905E-1,-1.189987183E0
1.583435875E0,-2.740231514E0,-9.963417649E-1,-1.022867441E0
1.593417875E0,-2.584336519E0,-7.846279144E-1,-8.493337035E-1
1.603399875E0,-2.558110476E0,-4.325663447E-1,-6.238208413E-1
1.613381875E0,-2.553983927E0,-1.524292231E-1,-4.199247062E-1
1.623363875E0,-2.527997971E0,-2.997850627E-2,-3.526251018E-1
1.633344875E0,-2.358635902E0,7.764595747E-2,-3.936838508E-1
1.643326875E0,-2.190474749E0,1.719187647E-1,-4.778892398E-1
1.653308875E0,-2.056732416E0,4.952600896E-1,-6.159937978E-1
1.663290875E0,-2.080865860E0,8.621414900E-1,-6.286753416E-1
1.673272875E0,-2.029632092E0,8.490259647E-1,-5.988663435E-1
1.683254875E0,-1.823505521E0,9.408227801E-1,-7.285551429E-1
1.693236875E0,-1.644681454E0,9.765706658E-1,-8.568769097E-1
1.703218875E0,-1.479259729E0,9.383551478E-1,-8.975660801E-1
1.713200875E0,-1.317918777E0,8.010979891E-1,-9.253628254E-1
1.723181875E0,-1.201328158E0,3.899218440E-1,-9.633890986E-1
1.733163875E0,-1.157634735E0,-1.128313020E-1,-1.038718581E0
1.743145875E0,-1.122326016E0,-6.426185966E-1,-1.141535759E0
1.753127875E0,-1.035239816E0,-1.116835475E0,-1.205641866E0
1.763109875E0,-9.801856279E-1,-1.542928815E0,-1.187692285E0
1.773091875E0,-8.318027854E-1,-1.740649581E0,-1.145294309E0
1.783073875E0,-6.384907365E-1,-1.806830645E0,-1.131977797E0
1.793055875E0,-5.013771057E-1,-1.970976710E0,-1.093681812E0
1.803036875E0,-3.592598140E-1,-2.088717461E0,-1.006696582E0
1.813018875E0,-2.172784358E-1,-2.144087553E0,-8.670057058E-1
1.823000875E0,-6.161781773E-2,-2.099267006E0,-6.836926937E-1
1.832982875E0,8.392047137E-2,-1.942386150E0,-4.822269082E-1
1.842964875E0,2.088714689E-1,-1.698835254E0,-2.604001164E-1
1.852946875E0,3.268833160E-1,-1.428668499E0,-3.255870938E-2
1.862928875E0,4.574939311E-1,-1.084393501E0,1.338993162E-1
1.872910875E0,6.272286177E-1,-6.454063058E-1,2.370400876E-1
1.882892875E0,8.380307555E-1,-2.369725406E-1,2.994581163E-1
1.892873875E0,1.047663927E0,5.786922202E-2,3.346938491E-1
1.902855875E0,1.205391884E0,2.196301818E-1,3.688673973E-1
1.912837875E0,1.288764834E0,2.641616762E-1,3.995241225E-1
1.922819875E0,1.290583730E0,1.761720181E-1,4.209057391E-1
1.932801875E0,1.200784802E0,4.603718407E-3,4.434459209E-1
1.942783875E0,1.032784462E0,-1.786350012E-1,4.651034772E-1
1.952765875E0,8.210665584E-1,-3.662834466E-1,4.586269557E-1
1.962747875E0,5.683932900E-1,-5.520423055E-1,4.072951674E-1
1.972728875E0,2.852105796E-1,-7.073506713E-1,3.111353517E-1
1.982710875E0,-5.661859177E-3,-6.959836483E-1,1.669201255E-1
1.992692875E0,-2.667983770E-1,-5.609744191E-1,-4.664462060E-2
2.002674875E0,-4.516389370E-1,-3.710141182E-1,-3.055143058E-1
2.012656875E0,-5.689810514E-1,-3.031583726E-1,-6.013099551E-1
2.022638875E0,-5.739816427E-1,-2.980199456E-1,-8.043551445E-1
2.032620875E0,-4.420238733E-1,-3.033113778E-1,-8.882607222E-1
2.042602875E0,-2.417090088E-1,-3.106287122E-1,-8.973352909E-1
2.052584875E0,-2.386589907E-2,-3.028778434E-1,-8.046602011E-1
2.062565875E0,2.078540027E-1,-2.652312219E-1,-6.456284523E-1
2.072547875E0,4.282518923E-1,-1.303695440E-1,-4.587350190E-1
2.082529875E0,6.938745975E-1,6.449587643E-2,-2.882082164E-1
2.092511875E0,8.997143507E-1,6.173630804E-2,-1.054743603E-1
2.102493875E0,8.516772985E-1,-9.514620900E-2,1.135279909E-1
2.112475875E0,4.029905796E-1,-2.314113677E-1,2.216928154E-1
2.122457875E0,-5.478923321E-1,-1.278215498E-1,1.889584810E-1
2.132439875E0,-1.212437391E0,2.580191195E-1,-1.713263988E-2
2.142420875E0,-8.246765137E-1,8.150160909E-1,-2.276694626E-1
2.152402875E0,1.324792355E-1,9.218472242E-1,-3.800134361E-1
2.162384875E0,8.832058907E-1,9.022195339E-1,-3.771205246E-1
2.172366875E0,1.265591383E0,1.151962876E0,-1.572081149E-1
2.182348875E0,1.317512751E0,1.390652418E0,1.954787225E-1
2.192330875E0,1.362394214E0,1.801356554E0,5.579692721E-1
2.202312875E0,1.569954395E0,2.483005285E0,9.288113713E-1
2.212294875E0,1.775598407E0,3.099605560E0,1.283899784E0
2.222275875E0,1.774726391E0,3.228155375E0,1.494831562E0
2.232257875E0,1.520974278E0,2.794918060E0,1.541592956E0
2.242239875E0,1.242232442E0,1.912721038E0,1.523360491E0
2.252221875E0,1.208269119E0,1.075125933E0,1.301351905E0
2.262203875E0,1.316650867E0,7.030975819E-1,9.702494740E-1
2.272185875E0,1.431437373E0,5.769467950E-1,7.044755816E-1
2.282167875E0,1.510064483E0,5.662809610E-1,4.145225883E-1
2.292149875E0,1.529856324E0,6.388015151E-1,1.637742370E-1
2.302131875E0,1.528960109E0,6.978046298E-1,6.508912146E-2
2.312112875E0,1.539176822E0,7.302275300E-1,5.494913831E-2
2.322094875E0,1.563269496E0,7.268702984E-1,6.004092097E-2
2.332076375E0,1.538558245E0,5.843530893E-1,7.669446617E-2
2.342058375E0,1.512203217E0,3.706527054E-1,1.190192327E-1
2.352040375E0,1.538533330E0,3.412492871E-1,1.671132594E-1
2.362022375E0,1.593204379E0,4.384593368E-1,2.359663248E-1
2.372004375E0,1.598067284E0,5.533369184E-1,2.933598459E-1
2.381986375E0,1.520897508E0,6.148931384E-1,3.428965807E-1
2.391967375E0,1.367539406E0,8.370015621E-1,4.582351446E-1
2.401949375E0,1.261106968E0,1.037912846E0,5.101169348E-1
2.411931375E0,1.207604289E0,1.119030356E0,5.317924023E-1
2.421913375E0,1.154087424E0,1.042061329E0,5.560079813E-1
2.431895375E0,1.082356334E0,8.956875801E-1,6.052317023E-1
2.441877375E0,1.003367186E0,8.174867630E-1,6.437718272E-1
2.451859375E0,9.473517537E-1,8.790361285E-1,6.805801988E-1
2.461841375E0,9.175624251E-1,1.009743810E0,7.277208567E-1
2.471823375E0,8.946011662E-1,1.130818009E0,7.518858314E-1
2.481804375E0,8.840600252E-1,1.153810859E0,7.695608735E-1
2.491786375E0,8.740441203E-1,1.060231924E0,7.955325842E-1
2.501768375E0,8.392558098E-1,8.925130963E-1,8.212878108E-1
2.511750375E0,7.865191102E-1,6.846523285E-1,8.320834637E-1
2.521732375E0,7.231094837E-1,4.844056368E-1,8.219479322E-1
2.531714375E0,6.607853770E-1,3.873470128E-1,7.805837393E-1
2.541696375E0,6.165932417E-1,3.832661808E-1,7.235667109E-1
2.551678375E0,6.039690375E-1,4.479977787E-1,6.476493478E-1
2.561660375E0,6.116163731E-1,5.224927068E-1,5.681601167E-1
2.571641375E0,6.225712895E-1,5.210461020E-1,4.833096564E-1
2.581623375E0,5.839053988E-1,4.726006985E-1,4.075068831E-1
2.591605375E0,4.838810563E-1,3.955709040E-1,3.783093095E-1
2.601587375E0,3.771978915E-1,3.308432698E-1,4.002161324E-1
2.611569375E0,2.522556782E-1,2.232358605E-1,3.961148560E-1
2.621551375E0,1.616253853E-1,1.559634209E-1,3.757005632E-1
2.631533375E0,1.657791138E-1,1.283317953E-1,3.418222368E-1
2.641515375E0,2.078656852E-1,1.281864494E-1,3.091975451E-1
