"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.848849166E-1,3.457348103E0,-5.036119718E0,-3.821690741E0
7.948669167E-1,3.351811708E0,-4.209794126E0,-3.622012128E0
8.048479168E-1,2.952049560E0,-2.541463047E0,-3.240641228E0
8.148299167E-1,2.225195923E0,-2.438242149E-1,-2.937165180E0
8.248119168E-1,1.341141940E0,2.248640335E0,-2.468911673E0
8.347939167E-1,4.903616110E-1,4.720686407E0,-1.362076434E0
8.447759168E-1,-4.397584181E-1,6.524698616E0,-2.874806964E-1
8.547579166E-1,-1.390639352E0,6.521069834E0,8.606785691E-1
8.647399168E-1,-1.999172095E0,5.769019668E0,3.480171540E0
8.747219166E-1,-2.954357164E0,4.776530825E0,5.485050809E0
8.847039167E-1,-4.576458401E0,2.694502807E0,5.357520697E0
8.946849166E-1,-7.058135422E0,-1.265756128E0,2.017342025E0
9.046669167E-1,-9.257774336E0,-6.976622313E0,-4.007727216E0
9.146489168E-1,-9.630029719E0,-1.476957089E1,-1.350654542E1
9.246309167E-1,-4.437961251E0,-2.132536150E1,-1.408103669E1
9.346129168E-1,1.842084307E0,-1.668224893E1,5.622985457E0
9.445949167E-1,3.098040502E0,-5.430941845E0,1.691821332E1
9.545769168E-1,4.432949603E-1,2.141155647E0,1.441225924E1
9.645589166E-1,-2.296706786E0,5.928868511E0,8.972138436E0
9.745409167E-1,-5.107294366E0,8.024221163E0,3.506134639E0
9.845219166E-1,-7.095462878E0,9.266917627E0,-8.698285845E-1
9.945039167E-1,-7.603265491E0,9.044206538E0,1.269930747E0
1.004485917E0,-6.494991252E0,7.112779992E0,5.510655767E0
1.014467917E0,-5.478979061E0,3.897686126E0,6.053025949E0
1.024449917E0,-4.389668220E0,9.097232598E-1,4.235661038E0
1.034431917E0,-2.206492727E0,-1.440265694E0,2.801432594E0
1.044413917E0,9.845271282E-1,-3.365619907E0,2.507034642E0
1.054395917E0,3.287321889E0,-5.059914377E0,2.799859985E0
1.064377917E0,5.287589752E0,-6.424020088E0,2.938808248E0
1.074359917E0,7.036162755E0,-6.487503893E0,2.950735399E0
1.084340917E0,6.488656964E0,-4.432767754E0,1.371099565E0
1.094322917E0,4.614512081E0,-1.238986405E0,8.784155130E-2
1.104304917E0,2.448451826E0,7.662828737E-1,-3.429754508E-1
1.114286917E0,2.317424787E-1,1.878268340E0,-4.999356958E-1
1.124268917E0,-1.319761596E0,2.537334913E0,-1.354168002E-1
1.134250917E0,-2.188312857E0,2.880692772E0,-4.855305684E-1
1.144232917E0,-2.053868412E0,2.806284029E0,-6.617194551E-1
1.154214917E0,-1.603449204E0,2.408970403E0,-5.553258580E-1
1.164196917E0,-1.595977632E0,2.161964133E0,-7.967006743E-1
1.174177917E0,-1.343537252E0,1.715512261E0,-8.886253363E-1
1.184159917E0,-9.317561531E-1,1.330033400E0,-7.521811438E-1
1.194141917E0,-6.069668587E-1,9.362766355E-1,-7.814230692E-1
1.204123917E0,2.419070591E-1,3.080547094E-1,-5.277451265E-1
1.214105917E0,8.913263114E-1,-1.533134097E-1,-1.630232229E-1
