"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.781365569601198E9,"2026-06-13 17:46:09.601 UTC+02:00"
"PAUSE",1.805931993336417E2,1.781365750194384E9,"2026-06-13 17:49:10.194 UTC+02:00"
