"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.781358480310594E9,"2026-06-13 15:48:00.311 UTC+02:00"
"PAUSE",1.806111624166369E2,1.781358660921540E9,"2026-06-13 15:51:00.922 UTC+02:00"
