"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.870333312E-3,2.312522920E0,1.795345466E0,-2.180938348E0
1.385233342E-2,1.343340640E0,3.332363284E0,-6.688928193E-1
2.383433329E-2,-1.524155697E-1,4.013732307E0,1.046798659E0
3.381633339E-2,-1.585602332E0,4.259448096E0,3.021158094E0
4.379833350E-2,-2.854525312E0,3.619366263E0,4.966983994E0
5.378033337E-2,-4.205635001E0,1.557924537E0,5.386601239E0
6.376233348E-2,-5.628901085E0,-1.929039713E0,4.651980454E0
7.374433335E-2,-7.411589084E0,-6.549359833E0,3.994767448E0
8.372633345E-2,-9.467312817E0,-1.153147876E1,3.592571397E0
9.370833333E-2,-1.023153981E1,-1.494819398E1,9.256424506E-1
1.036903334E-1,-6.410299596E0,-1.425858857E1,-1.039573430E1
1.136723333E-1,-1.153433454E0,-9.625215706E0,-1.300678506E1
1.236543334E-1,1.201900586E0,-3.910731849E0,-5.632949113E0
1.336363335E-1,2.262406288E0,6.681853062E-1,-8.662474573E-1
1.436183334E-1,1.584841610E0,4.464294187E0,2.930353174E0
1.536003335E-1,-2.528577977E-1,7.085890986E0,9.581556301E0
1.635823334E-1,-2.496363181E0,8.196413478E0,1.158206536E1
1.735643335E-1,-4.955770789E0,8.870619662E0,9.514218596E0
1.835463333E-1,-6.527662570E0,8.460348607E0,7.508300861E0
1.935283334E-1,-7.194530498E0,6.523112267E0,4.299070584E0
2.035103333E-1,-5.911471875E0,4.167636285E0,2.662770553E0
2.134923334E-1,-3.823935488E0,1.782925980E0,2.219221823E0
2.234743333E-1,-1.518192707E0,-9.544234693E-1,2.244210484E0
2.334563334E-1,1.952316894E0,-3.316841265E0,2.646381977E0
2.434383335E-1,6.667484699E0,-5.548571452E0,2.634452487E0
2.534203334E-1,9.937097418E0,-6.330309101E0,9.884636199E-1
2.634023335E-1,9.542127357E0,-4.741062784E0,-6.120865345E-1
2.733843334E-1,6.521161051E0,-2.073067160E0,-7.239904746E-1
2.833663335E-1,3.623521294E0,2.610664845E-2,-9.824608684E-1
2.933483333E-1,1.194683368E-1,8.955116022E-1,-1.417758007E0
3.033303334E-1,-2.225918785E0,1.331972337E0,-3.437123169E0
3.133123333E-1,-3.026094899E0,1.559072345E0,-3.918287036E0
3.232943334E-1,-3.700531171E0,1.538700061E0,-2.328696318E0
3.332753335E-1,-3.143060846E0,1.919623942E0,-9.856101787E-1
3.432573334E-1,-2.108450123E0,1.992036445E0,-4.981535375E-2
3.532393335E-1,-9.720702931E-1,1.533846872E0,-1.368080355E-2
3.632213334E-1,-1.196908964E-1,1.067995693E0,-1.383544779E-1
3.732033335E-1,3.730153750E-1,7.245922261E-1,5.951544598E-2
3.831853333E-1,6.152785295E-1,4.441223413E-1,3.983959454E-1
3.931674168E-1,9.059186959E-1,2.036889267E-1,7.004256839E-1
