"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.870333312E-3,9.023835063E-1,4.723850191E-1,-4.261887372E-1
1.385233342E-2,1.407318115E0,7.464308143E-1,-2.176589370E-1
2.383433329E-2,2.025696516E0,1.101127386E0,7.874396443E-2
3.381633339E-2,2.636218071E0,1.517450094E0,4.033767581E-1
4.379833350E-2,2.947034597E0,1.825992227E0,7.177533507E-1
5.378033337E-2,2.834042549E0,2.248171329E0,9.523313046E-1
6.376233348E-2,2.355016708E0,2.789860249E0,1.142532945E0
7.374433335E-2,1.835680127E0,2.803210258E0,1.395457983E0
8.372633345E-2,1.217894435E0,1.922027826E0,1.372867107E0
9.370833333E-2,1.463513076E-2,-1.623561233E-1,7.237446308E-1
1.036903334E-1,-4.913196564E-1,-1.394946456E0,1.235786527E-1
1.136723333E-1,-1.748524159E-1,-4.703345299E-1,-1.847817451E-1
1.236543334E-1,2.970405221E-1,1.424023628E0,-3.341819048E-1
1.336363335E-1,8.828003407E-1,2.985664845E0,-2.243343592E-1
1.436183334E-1,1.662767649E0,3.823194027E0,2.681238949E-2
1.536003335E-1,1.966503978E0,3.699053049E0,3.275387287E-1
1.635823334E-1,1.824015498E0,3.024550200E0,6.451917887E-1
1.735643335E-1,1.386074185E0,2.258674622E0,1.018329501E0
1.835463333E-1,7.908769250E-1,1.385008693E0,1.344331026E0
1.935283334E-1,3.749725521E-1,2.409682870E-1,1.481962323E0
2.035103333E-1,2.581162453E-1,-1.034233093E0,1.492112994E0
2.134923334E-1,4.600897729E-1,-2.300223351E0,1.391835570E0
2.234743333E-1,8.981499672E-1,-3.172607899E0,1.085176349E0
2.334563334E-1,1.418946862E0,-2.722782850E0,4.509266019E-1
2.434383335E-1,1.592932701E0,-1.118245482E0,-1.957818568E-1
2.534203334E-1,1.483994007E0,7.852816582E-1,-4.684160352E-1
2.634023335E-1,1.348461509E0,2.154751062E0,-5.312828422E-1
2.733843334E-1,1.350289583E0,2.674827099E0,-6.589229703E-1
2.833663335E-1,1.354399443E0,2.366781712E0,-5.916240811E-1
2.933483333E-1,1.135325432E0,1.790378928E0,-4.519108832E-1
3.033303334E-1,8.787620664E-1,1.175622702E0,-2.954658866E-1
3.133123333E-1,6.806908250E-1,7.266616225E-1,-5.028912798E-2
3.232943334E-1,5.757486820E-1,5.179843307E-1,1.551063806E-1
3.332753335E-1,5.581896901E-1,4.623263478E-1,3.247686923E-1
3.432573334E-1,5.710796714E-1,5.361155868E-1,4.243520200E-1
3.532393335E-1,5.890472531E-1,7.010406256E-1,4.754512012E-1
3.632213334E-1,6.034876704E-1,8.691494465E-1,5.197803378E-1
3.732033335E-1,6.010809541E-1,9.555945396E-1,5.646942258E-1
3.831853333E-1,6.001738310E-1,9.241809249E-1,6.015600562E-1
3.931674168E-1,6.185917854E-1,8.627507091E-1,6.101053953E-1
4.031494167E-1,7.016177177E-1,8.228336573E-1,5.980511308E-1
4.131314168E-1,8.131882548E-1,7.834651470E-1,5.860501528E-1
4.231134166E-1,9.021378756E-1,7.196094394E-1,6.065897942E-1
4.330954168E-1,9.512847662E-1,6.379964948E-1,6.408999562E-1
4.430774166E-1,9.584150910E-1,5.586273670E-1,6.798361540E-1
4.530594167E-1,9.292048812E-1,4.982838631E-1,6.986272931E-1
4.630414168E-1,8.460665345E-1,4.532189369E-1,6.885150075E-1
4.730234167E-1,7.432097793E-1,4.594654143E-1,6.610856056E-1
4.830054168E-1,6.467641592E-1,5.394300222E-1,6.273915172E-1
4.929874167E-1,5.391104221E-1,6.224537492E-1,5.771920681E-1
5.029694168E-1,4.236136973E-1,6.916463971E-1,5.115893483E-1
5.129514167E-1,3.294194639E-1,7.206060290E-1,4.508239031E-1
5.229334168E-1,2.561780214E-1,6.956900358E-1,4.070433974E-1
5.329154166E-1,1.805765182E-1,6.126689315E-1,3.946014643E-1
5.428974167E-1,6.394071877E-2,4.949595928E-1,3.868332803E-1
5.528794168E-1,-8.429914713E-2,3.926805854E-1,3.742641807E-1
5.628614167E-1,-1.957774758E-1,2.863261998E-1,3.542651534E-1
5.728434168E-1,-2.085154951E-1,1.424476802E-1,3.122099638E-1
5.828254167E-1,-1.535047144E-1,3.603976220E-2,2.339870781E-1
5.928074168E-1,-1.198219955E-1,-1.988218166E-2,1.516731828E-1
