"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.374333398E-3,2.011816406E0,-6.667285309E0,-4.471052399E0
1.135633350E-2,7.710466003E-1,-5.613177338E0,-2.711461487E0
2.133833338E-2,-7.240443420E-1,-5.251379700E0,-6.990463257E-1
3.132033348E-2,-2.050735474E0,-5.392685852E0,1.639989624E0
4.130233335E-2,-3.380869446E0,-6.802454224E0,3.250490570E0
5.128433346E-2,-4.796176300E0,-9.634714508E0,3.158581696E0
6.126633333E-2,-6.445746002E0,-1.380354538E1,2.635120239E0
7.124833344E-2,-8.461304626E0,-1.875569733E1,2.281405792E0
8.123033331E-2,-1.040905426E1,-2.337539062E1,1.640738068E0
9.121233341E-2,-9.156459045E0,-2.482886810E1,-5.321434021E0
1.011943335E-1,-3.764671326E0,-2.208791794E1,-1.545416290E1
1.111763334E-1,8.187973022E-2,-1.632535126E1,-1.083731369E1
1.211583335E-1,1.618135071E0,-1.124476639E1,-4.117637329E0
1.311403334E-1,2.103126526E0,-7.033423920E0,-6.682104492E-1
1.411223335E-1,5.433700562E-1,-3.767665100E0,5.084327087E0
1.511043333E-1,-1.332229614E0,-2.002984772E0,1.055125854E1
1.610863334E-1,-3.952380981E0,-1.188079376E0,9.746831360E0
1.710683333E-1,-6.023773499E0,-9.264234924E-1,8.016130371E0
1.810503334E-1,-7.375762024E0,-2.167043610E0,5.283263397E0
1.910323333E-1,-7.251670074E0,-4.459975433E0,2.671644287E0
2.010143334E-1,-5.475314026E0,-6.749015350E0,1.868564301E0
2.109963335E-1,-3.537443848E0,-9.358987885E0,1.675615540E0
2.209783334E-1,-8.452922058E-1,-1.196776291E1,2.105970612E0
2.309603335E-1,3.327280884E0,-1.420965088E1,2.570604401E0
2.409423334E-1,7.761659546E0,-1.604752899E1,1.983674927E0
2.509243335E-1,9.386829987E0,-1.551598434E1,1.028361511E-1
2.609063333E-1,7.242539063E0,-1.322694443E1,-4.957690430E-1
2.708883334E-1,4.372108154E0,-1.062490540E1,-5.766009521E-1
2.808703333E-1,1.122216339E0,-9.191336517E0,-5.378315735E-1
2.908523334E-1,-1.952988739E0,-8.654552765E0,-1.822909241E0
3.008343333E-1,-3.371439056E0,-8.250692596E0,-3.419040070E0
3.108163334E-1,-4.104913788E0,-8.246950378E0,-2.499352570E0
3.207983335E-1,-4.262536011E0,-8.061036987E0,-8.563691711E-1
3.307793334E-1,-3.357667694E0,-7.699089661E0,3.754193115E-1
