"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780691507955362E9,"2026-06-05 22:31:47.955 UTC+02:00"
"PAUSE",1.805725577499252E2,1.780691688529249E9,"2026-06-05 22:34:48.529 UTC+02:00"
