"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.781359135670980E9,"2026-06-13 15:58:55.671 UTC+02:00"
"PAUSE",1.805936181666330E2,1.781359316265006E9,"2026-06-13 16:01:56.265 UTC+02:00"
