feature,importance,signal_group,stat_group
acc_magnitude_band_1_3hz,0.00602231860580992,Acceleration magnitude,Frequency-domain statistics
acc_magnitude_band_3_5hz,0.04893408705235142,Acceleration magnitude,Frequency-domain statistics
acc_magnitude_band_gt_5hz,0.0001367269909222308,Acceleration magnitude,Frequency-domain statistics
gyro_magnitude_mean,0.03227401268813859,Gyroscope magnitude,Time-domain statistics
gyro_magnitude_std,0.013059919853913256,Gyroscope magnitude,Time-domain statistics
gyro_magnitude_median,0.0189525627883354,Gyroscope magnitude,Time-domain statistics
gyro_magnitude_min,0.00013425108611454204,Gyroscope magnitude,Time-domain statistics
gyro_magnitude_max,0.0098119369064547,Gyroscope magnitude,Time-domain statistics
gyro_magnitude_rms,0.02570721383141956,Gyroscope magnitude,Time-domain statistics
gyro_magnitude_dom_freq,0.0002199320300286848,Gyroscope magnitude,Frequency-domain statistics
gyro_magnitude_spec_entropy,0.0001042079332858644,Gyroscope magnitude,Frequency-domain statistics
gyro_magnitude_band_0_1hz,0.0002803766307337377,Gyroscope magnitude,Frequency-domain statistics
gyro_magnitude_band_1_3hz,0.001083928943785382,Gyroscope magnitude,Frequency-domain statistics
gyro_magnitude_band_3_5hz,0.0029011196554344877,Gyroscope magnitude,Frequency-domain statistics
gyro_magnitude_band_gt_5hz,0.007788871207663569,Gyroscope magnitude,Frequency-domain statistics
corr_acc_x_acc_y,0.022506758776378765,Cross-axis correlation,Correlation
corr_acc_y_acc_z,0.020261002172056973,Cross-axis correlation,Correlation
corr_acc_x_acc_z,0.00011138928652261855,Cross-axis correlation,Correlation
corr_gyro_x_gyro_y,0.013400806930015448,Cross-axis correlation,Correlation
corr_gyro_y_gyro_z,0.0039187601659599145,Cross-axis correlation,Correlation
