"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780854516492397E9,"2026-06-07 19:48:36.492 UTC+02:00"
"PAUSE",1.637040729166474E2,1.780854680195039E9,"2026-06-07 19:51:20.195 UTC+02:00"
