"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.781359583259190E9,"2026-06-13 16:06:23.259 UTC+02:00"
"PAUSE",1.805927336250898E2,1.781359763852247E9,"2026-06-13 16:09:23.852 UTC+02:00"
