"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780752986891966E9,"2026-06-06 15:36:26.892 UTC+02:00"
"PAUSE",1.806394807917532E2,1.780753167531330E9,"2026-06-06 15:39:27.531 UTC+02:00"
