C,participant,context,session,axis,n_outliers,pct_outliers
1.5,Oana,crowded,session_1,gyro_z,16,0.08853474988933156
1.5,Oana,crowded,session_2,acc_x,14,0.07747219301643517
1.5,Oana,crowded,session_2,acc_y,200,1.1067456145205024
1.5,Oana,crowded,session_2,acc_z,24,0.1328094737424603
1.5,Oana,crowded,session_2,gyro_x,11,0.060871008798627634
1.5,Oana,crowded,session_2,gyro_y,0,0.0
1.5,Oana,crowded,session_2,gyro_z,8,0.0442698245808201
1.5,Oana,normal,session_1,acc_x,3,0.01663616702711695
1.5,Oana,normal,session_1,acc_y,228,1.2643486940608883
1.5,Oana,normal,session_1,acc_z,0,0.0
1.5,Oana,normal,session_1,gyro_x,0,0.0
1.5,Oana,normal,session_1,gyro_y,3,0.01663616702711695
1.5,Oana,normal,session_1,gyro_z,0,0.0
1.5,Oana,normal,session_2,acc_x,16,0.08869671267808636
1.5,Oana,normal,session_2,acc_y,221,1.225123343866068
1.5,Oana,normal,session_2,acc_z,0,0.0
1.5,Oana,normal,session_2,gyro_x,0,0.0
1.5,Oana,normal,session_2,gyro_y,14,0.07760962359332557
1.5,Oana,normal,session_2,gyro_z,0,0.0
1.5,Oana,normal,session_3,acc_x,3,0.01663708961845608
1.5,Oana,normal,session_3,acc_y,213,1.1812333629103815
1.5,Oana,normal,session_3,acc_z,0,0.0
1.5,Oana,normal,session_3,gyro_x,0,0.0
1.5,Oana,normal,session_3,gyro_y,3,0.01663708961845608
1.5,Oana,normal,session_3,gyro_z,0,0.0
1.5,Pedro,crowded,session_1,acc_x,157,0.8770459750851908
1.5,Pedro,crowded,session_1,acc_y,209,1.1675325400815597
1.5,Pedro,crowded,session_1,acc_z,118,0.659181051337914
1.5,Pedro,crowded,session_1,gyro_x,0,0.0
1.5,Pedro,crowded,session_1,gyro_y,5,0.027931400480420088
1.5,Pedro,crowded,session_1,gyro_z,0,0.0
1.5,Pedro,crowded,session_2,acc_x,42,0.2346368715083799
1.5,Pedro,crowded,session_2,acc_y,214,1.1955307262569832
1.5,Pedro,crowded,session_2,acc_z,199,1.111731843575419
1.5,Pedro,crowded,session_2,gyro_x,0,0.0
1.5,Pedro,crowded,session_2,gyro_y,2,0.0111731843575419
1.5,Pedro,crowded,session_2,gyro_z,18,0.1005586592178771
1.5,Pedro,normal,session_1,acc_x,53,0.2939056174790662
1.5,Pedro,normal,session_1,acc_y,191,1.059169300726446
1.5,Pedro,normal,session_1,acc_z,274,1.5194365884766816
1.5,Pedro,normal,session_1,gyro_x,0,0.0
1.5,Pedro,normal,session_1,gyro_y,0,0.0
1.5,Pedro,normal,session_1,gyro_z,0,0.0
1.5,Pedro,normal,session_2,acc_x,125,0.6931351890872796
1.5,Pedro,normal,session_2,acc_y,179,0.9925695907729843
1.5,Pedro,normal,session_2,acc_z,232,1.286458910945991
1.5,Pedro,normal,session_2,gyro_x,0,0.0
1.5,Pedro,normal,session_2,gyro_y,0,0.0
1.5,Pedro,normal,session_2,gyro_z,0,0.0
1.5,Pedro,normal,session_3,acc_x,230,1.2753687479205944
1.5,Pedro,normal,session_3,acc_y,146,0.8095819008539425
1.5,Pedro,normal,session_3,acc_z,107,0.5933237218587113
1.5,Pedro,normal,session_3,gyro_x,0,0.0
1.5,Pedro,normal,session_3,gyro_y,0,0.0
1.5,Pedro,normal,session_3,gyro_z,0,0.0
2.0,Ana,crowded,session_1,acc_x,0,0.0
2.0,Ana,crowded,session_1,acc_y,15,0.0828775070445881
