"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780769196408705E9,"2026-06-06 20:06:36.409 UTC+02:00"
"PAUSE",1.800219710834790E2,1.780769376431012E9,"2026-06-06 20:09:36.431 UTC+02:00"
