"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.781464728866794E9,"2026-06-14 21:18:48.867 UTC+02:00"
"PAUSE",1.800992527082562E2,1.781464908966241E9,"2026-06-14 21:21:48.966 UTC+02:00"
