"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.581140001E-1,2.329156494E-1,-1.518726791E1,-9.451345825E0
7.680960000E-1,3.248245239E-2,-1.322814194E1,-1.044123734E1
7.780780001E-1,9.741741943E-1,-1.140912460E1,-9.641749878E0
7.880599999E-1,2.098785553E0,-9.243577881E0,-7.593259735E0
7.980420000E-1,2.240840149E0,-6.773115234E0,-6.803951111E0
8.080239999E-1,1.300794983E0,-4.936135254E0,-6.094276886E0
8.180060000E-1,-7.658074951E-1,-4.016148376E0,-5.351371765E0
8.279880001E-1,-2.955304413E0,-5.388943634E0,-3.630400543E0
8.379700000E-1,-4.820425873E0,-8.131989441E0,-1.850302277E0
8.479520001E-1,-6.999893646E0,-1.112381790E1,-8.286767578E-1
8.579340000E-1,-9.902807007E0,-1.494492188E1,2.195783844E0
8.679160001E-1,-1.173754166E1,-1.804826843E1,4.837789764E0
8.778979999E-1,-1.089943451E1,-1.674492874E1,5.837411041E0
8.878800001E-1,-8.452023926E0,-1.174577454E1,5.966891785E0
8.978619999E-1,-5.336253204E0,-7.864196320E0,5.251529388E0
9.078440000E-1,-3.919748840E0,-6.739435272E0,4.400698700E0
9.178259999E-1,-3.252735901E0,-5.669160919E0,4.132606201E0
9.278080000E-1,-3.152145081E0,-5.044360199E0,4.453389130E0
9.377900001E-1,-3.213667145E0,-5.553301849E0,3.727398834E0
9.477720000E-1,-3.360511780E0,-6.701564026E0,2.700085144E0
9.577540001E-1,-3.755390625E0,-7.956404572E0,2.618205414E0
9.677360000E-1,-4.106560364E0,-9.042096863E0,3.073708191E0
9.777180001E-1,-4.040397949E0,-9.851912842E0,3.392545166E0
9.876999999E-1,-3.605103149E0,-1.049512527E1,2.980901184E0
9.976820000E-1,-2.394570465E0,-1.128129044E1,1.916315002E0
1.007664000E0,-4.872367859E-1,-1.251801865E1,9.698332214E-1
1.017646000E0,1.779050446E0,-1.325912750E1,1.968406677E-1
1.027628000E0,3.987408142E0,-1.259450958E1,-4.331991577E-1
1.037610000E0,5.514981537E0,-1.057984909E1,-1.655706940E0
1.047592000E0,5.087021484E0,-8.872649231E0,-2.805915070E0
1.057574000E0,3.566184082E0,-7.829917603E0,-2.253563690E0
1.067556000E0,6.500981140E-1,-7.606132965E0,-1.059047699E0
1.077538000E0,-1.473835144E0,-7.351662140E0,-3.727249146E-1
1.087520000E0,-2.810705109E0,-7.430398407E0,-3.171903992E-1
1.097502000E0,-3.422033844E0,-8.016280060E0,-5.704637146E-1
1.107484000E0,-3.526965637E0,-8.364905090E0,-6.589297485E-1
1.117466000E0,-3.342698822E0,-8.792416077E0,-6.599775696E-1
1.127448000E0,-2.752925262E0,-9.107211456E0,-6.047424316E-1
1.137430000E0,-2.384990387E0,-9.093290405E0,-2.477348328E-1
1.147412000E0,-2.336042175E0,-8.912915497E0,3.441343689E-1
1.157394000E0,-2.131268005E0,-8.662336578E0,6.159690857E-1
1.167376000E0,-1.729353790E0,-8.389154663E0,5.969586182E-1
1.177358000E0,-1.382375336E0,-8.396788788E0,5.083428955E-1
1.187340000E0,-1.184187469E0,-8.531358948E0,2.451901245E-1
1.197322000E0,-1.097817078E0,-8.665330353E0,1.405577087E-1
1.207304000E0,-9.650431824E-1,-8.969797211E0,-4.117936707E-1
1.217286000E0,-6.979985046E-1,-9.142238617E0,-6.932084656E-1
1.227268000E0,-4.201762390E-1,-9.423653412E0,-5.565426636E-1
1.237250000E0,-3.701802063E-1,-9.847571869E0,-5.352868652E-1
1.247232000E0,-4.150868225E-1,-1.012659164E1,-7.578739929E-1
1.257214000E0,-6.321354675E-1,-1.052760773E1,-1.119821320E0
1.267196000E0,-8.801696777E-1,-1.126542343E1,-1.371148682E0
1.277178000E0,-9.075627136E-1,-1.188977509E1,-1.584305420E0
1.287160000E0,-6.015989685E-1,-1.213825836E1,-2.059417419E0
1.297142000E0,-5.358856201E-2,-1.187555466E1,-2.356549530E0
1.307124000E0,4.513114929E-1,-1.160102554E1,-1.986968079E0
1.317106000E0,7.038363647E-1,-1.163710052E1,-8.948391724E-1
1.327088000E0,5.478607178E-1,-1.191851532E1,8.577163696E-2
1.337070000E0,5.207670593E-1,-1.231354385E1,3.356021118E-1
1.347052000E0,9.621990967E-1,-1.274464737E1,3.387455750E-1
1.357033000E0,1.568887482E0,-1.307680664E1,4.540058899E-1
1.367015000E0,2.227368164E0,-1.313698151E1,5.767506409E-1
1.376997000E0,2.837948456E0,-1.286095551E1,4.227209473E-1
1.386979000E0,3.103496246E0,-1.222537720E1,-4.077520752E-1
1.396961000E0,2.705923004E0,-1.194306427E1,-1.901196442E0
1.406943000E0,1.610650635E0,-1.237491623E1,-3.858077087E0
1.416925000E0,8.261320496E-1,-1.311827042E1,-5.680836639E0
1.426907000E0,6.951544189E-1,-1.366253860E1,-5.399272156E0
1.436889000E0,5.927673340E-1,-1.372540787E1,-3.557502136E0
1.446871000E0,8.405021667E-1,-1.354727829E1,-2.552342377E0
1.456853000E0,1.221160583E0,-1.264480499E1,-1.902693329E0
1.466835000E0,6.818321228E-1,-1.118114868E1,-1.116977234E0
1.476817000E0,-1.355880432E0,-9.600136414E0,-3.626957703E-1
1.486799042E0,-3.608545990E0,-8.070018311E0,8.261320496E-1
1.496781042E0,-4.973707123E0,-8.466992798E0,1.474134521E0
1.506763042E0,-5.597010956E0,-1.076246933E1,1.528471527E0
