"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.607074582E-1,-8.177494812E-1,-8.176297302E0,-8.809181213E-1
7.706894584E-1,-3.257226562E-1,-7.321724396E0,-4.936734009E-1
7.806724582E-1,2.056723022E-1,-6.752158813E0,-1.181044006E-1
7.906554583E-1,5.595364380E-1,-6.436614990E0,2.079176331E-1
8.006374582E-1,7.599696350E-1,-6.277346191E0,5.153782654E-1
8.106204583E-1,5.610333252E-1,-6.473737793E0,8.282276917E-1
8.206024584E-1,2.305206299E-2,-7.020101624E0,1.198557587E0
8.305854583E-1,-3.793112183E-1,-7.965535583E0,1.424138489E0
8.405684584E-1,-6.041436768E-1,-9.477541351E0,1.447938995E0
8.505504583E-1,-8.987310791E-1,-1.127066254E1,1.037342834E0
8.605334584E-1,-1.244661713E0,-1.289957520E1,3.887416077E-1
8.705164583E-1,-1.435065765E0,-1.378992371E1,-2.775228882E-1
8.804984584E-1,-1.760788422E0,-1.297711395E1,-6.475534058E-1
8.904814583E-1,-1.936972046E0,-1.133547775E1,-9.276210022E-1
9.004634584E-1,-1.709145813E0,-1.006102798E1,-1.373543701E0
9.104464583E-1,-1.024619293E0,-9.254205780E0,-2.336940308E0
9.204294584E-1,-6.938072205E-1,-8.809779968E0,-3.531306610E0
9.304114582E-1,-4.927752686E-1,-8.769962769E0,-4.223467255E0
9.403944584E-1,-3.266207886E-1,-8.782087555E0,-3.796854401E0
9.503774582E-1,-2.158511353E-1,-8.883576508E0,-2.491119690E0
9.603594583E-1,-2.121089172E-1,-8.866661682E0,-1.414708099E0
9.703424582E-1,-3.210823059E-1,-8.762328644E0,-4.658312988E-1
9.803244583E-1,-8.288264465E-1,-8.432714081E0,2.459385681E-1
9.903074582E-1,-1.072220306E0,-8.184081116E0,5.239105225E-1
1.000290458E0,-1.293310547E0,-7.998916168E0,5.965095520E-1
1.010272458E0,-1.353036346E0,-7.995922394E0,3.987707520E-1
1.020255458E0,-1.343306580E0,-7.989036713E0,1.287322998E-2
1.030238458E0,-1.218915253E0,-8.102949829E0,-6.408174133E-1
1.040220458E0,-1.072220306E0,-8.509354706E0,-1.473086700E0
1.050203458E0,-6.364764404E-1,-9.117390289E0,-2.406994629E0
1.060185458E0,7.634124756E-3,-9.858349457E0,-3.210673370E0
1.070168458E0,5.201683044E-1,-1.041534119E1,-3.573219452E0
1.080151458E0,8.806187439E-1,-1.058224411E1,-3.584296417E0
1.090133458E0,1.015637970E0,-1.039198975E1,-3.242557068E0
1.100116458E0,7.298822021E-1,-9.980046387E0,-2.585273895E0
1.110099458E0,3.676354980E-1,-9.663604431E0,-2.023641815E0
1.120081458E0,-2.263293457E-1,-9.326804810E0,-1.579515381E0
1.130064458E0,-7.331753540E-1,-9.151968384E0,-1.366807709E0
1.140046458E0,-9.099577332E-1,-9.149573364E0,-1.274749146E0
1.150029458E0,-8.557704163E-1,-9.324409790E0,-1.076411591E0
1.160012458E0,-5.995033264E-1,-9.533824310E0,-8.774752808E-1
1.169994458E0,-2.374063110E-1,-9.747280426E0,-7.174580383E-1
1.179977458E0,3.930825806E-1,-1.007539810E1,-9.235794067E-1
1.189960458E0,1.041833496E0,-1.029993118E1,-1.406624908E0
1.199942458E0,1.059047699E0,-1.029289581E1,-1.924847260E0
1.209925458E0,1.221310272E0,-1.038854691E1,-2.705923004E0
1.219907458E0,1.052910461E0,-1.040860519E1,-3.156935120E0
1.229890458E0,8.033793640E-1,-1.041653870E1,-3.250789948E0
1.239873458E0,9.213340759E-1,-1.048479675E1,-2.998863831E0
1.249855458E0,1.130000153E0,-1.068687653E1,-2.416425018E0
1.259838458E0,1.283431091E0,-1.101649109E1,-1.989512787E0
1.269821458E0,1.378333740E0,-1.128009293E1,-1.871408386E0
1.279803458E0,1.303190002E0,-1.141151962E1,-2.025887146E0
1.289786458E0,1.076411591E0,-1.157902130E1,-2.260599060E0
1.299768458E0,7.539820862E-1,-1.178169983E1,-2.465672607E0
1.309751458E0,3.866459656E-1,-1.171359146E1,-2.528392181E0
1.319734458E0,1.164578247E-1,-1.137903717E1,-2.422113190E0
1.329716458E0,-1.023870850E-1,-1.094718521E1,-2.104773102E0
1.339699458E0,-3.255729675E-1,-1.048823959E1,-1.506167908E0
1.349681458E0,-5.285508728E-1,-9.845925293E0,-8.925938416E-1
1.359664458E0,-9.041198730E-1,-9.216933289E0,-4.073030090E-1
1.369647458E0,-1.484612732E0,-8.864416351E0,-1.437011719E-1
