"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780755881683926E9,"2026-06-06 16:24:41.684 UTC+02:00"
"PAUSE",1.805949648749665E2,1.780756062278946E9,"2026-06-06 16:27:42.279 UTC+02:00"
