"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.416566249E-1,5.680616498E-1,-4.581940770E-1,1.308619529E-1
7.516386250E-1,-2.207211405E-1,-4.886023104E-1,1.158930287E-1
7.616206249E-1,-7.687914371E-1,-1.608875543E-1,-6.626159698E-2
7.716036250E-1,-7.709729075E-1,5.932645202E-1,-2.838482559E-1
7.815856249E-1,-3.821580410E-1,1.520410776E0,-4.211571217E-1
7.915676250E-1,6.322169304E-2,2.033690929E0,-4.733370841E-1
8.015496249E-1,3.692218065E-1,1.799053311E0,-4.802636802E-1
8.115316250E-1,6.090839505E-1,1.103466511E0,-4.163071811E-1
8.215136249E-1,8.803346157E-1,3.936222196E-1,-2.836170495E-1
8.314956250E-1,1.174042821E0,-9.669181705E-2,-1.412446648E-1
8.414776248E-1,1.412592292E0,-4.238230586E-1,-5.651273951E-2
8.514596249E-1,1.610126376E0,-6.273590326E-1,-5.035361275E-2
8.614416250E-1,1.868567228E0,-6.841067076E-1,-1.497778017E-2
8.714236249E-1,2.142873526E0,-3.322537839E-1,8.600306511E-2
8.814056250E-1,2.300782919E0,4.855702221E-1,1.713200957E-1
8.913876249E-1,2.339976072E0,1.294290662E0,2.173464000E-1
9.013696250E-1,2.281635284E0,1.624070406E0,1.853711605E-1
9.113526249E-1,2.138507843E0,1.408849597E0,-1.617109030E-2
9.213346250E-1,1.710466504E0,9.124537110E-1,-2.277365923E-1
9.313166249E-1,6.967098713E-1,1.124724984E0,-4.058857262E-1
9.412986250E-1,-1.426758915E-1,1.734944224E0,-3.243714273E-1
9.512806248E-1,-3.886964023E-1,2.036130905E0,-1.152345762E-1
9.612626249E-1,-2.359550595E-1,1.748639464E0,9.699060023E-2
9.712446250E-1,3.235510737E-2,1.066347718E0,3.773263991E-1
9.812266249E-1,2.272513658E-1,4.388905168E-1,6.877609491E-1
9.912086250E-1,3.326491416E-1,1.482326239E-1,9.797288179E-1
1.001190625E0,4.104294181E-1,-1.046609832E-3,1.215840340E0
1.011172625E0,5.128673911E-1,-1.228331402E-1,1.432830572E0
1.021154625E0,6.403933764E-1,-2.535874248E-1,1.546079040E0
1.031136625E0,7.427670956E-1,-3.359363079E-1,1.527378321E0
1.041118625E0,8.404832482E-1,-2.304562330E-1,1.363817573E0
1.051100625E0,9.854348302E-1,-3.085708246E-2,1.002363443E0
1.061083625E0,1.235548735E0,1.892819405E-1,4.638927579E-1
1.071065625E0,1.527639508E0,5.004920959E-1,-2.010275573E-1
1.081047625E0,1.726061463E0,8.324753642E-1,-8.693041205E-1
1.091029625E0,1.772077799E0,1.020183086E0,-1.350139856E0
1.101011625E0,1.730272889E0,1.138503075E0,-1.553552389E0
1.110993625E0,1.586401820E0,1.134454370E0,-1.528432727E0
1.120975625E0,1.320172191E0,9.543995261E-1,-1.339356184E0
1.130957625E0,1.018297434E0,7.383872271E-1,-1.029658079E0
1.140939625E0,7.797735333E-1,6.136253476E-1,-6.638467312E-1
1.150921625E0,6.218135953E-1,6.206840277E-1,-3.188518584E-1
1.160903625E0,4.605234861E-1,5.755648017E-1,-4.940495640E-2
1.170885625E0,3.194321394E-1,4.641596079E-1,1.465346217E-1
1.180867625E0,2.729392350E-1,3.693931401E-1,2.715428770E-1
1.190849625E0,3.463741839E-1,2.643951476E-1,3.579600453E-1
1.200831625E0,5.225657225E-1,1.587866992E-1,3.965987861E-1
1.210814625E0,7.599086165E-1,7.898320258E-2,3.800321221E-1
1.220796625E0,9.720789790E-1,9.837207943E-2,3.382253051E-1
1.230778625E0,1.149126887E0,2.533241808E-1,3.342924416E-1
1.240760625E0,1.194435954E0,4.702160060E-1,2.807227075E-1
1.250742625E0,1.166105747E0,6.932375431E-1,2.558369637E-1
1.260724625E0,1.058495879E0,8.145615458E-1,2.310767770E-1
1.270706625E0,9.574073553E-1,7.531580329E-1,2.582151592E-1
1.280688625E0,8.844213486E-1,4.809001684E-1,3.013964593E-1
1.290670625E0,8.846164942E-1,1.229636222E-1,3.178800344E-1
1.300652625E0,9.558044076E-1,-1.798276752E-1,3.202601075E-1
1.310634625E0,1.027137995E0,-3.698509037E-1,3.408722878E-1
1.320616625E0,1.029379487E0,-4.226278365E-1,3.771999180E-1
1.330598625E0,9.361377954E-1,-3.644603193E-1,4.172905684E-1
1.340580625E0,8.087588549E-1,-2.466511279E-1,4.656365514E-1
1.350562625E0,6.439170241E-1,-1.085002720E-1,4.525920451E-1
1.360545625E0,4.863984585E-1,3.257828951E-2,3.889752328E-1
1.370527625E0,3.547699749E-1,1.736973524E-1,2.783977091E-1
1.380509625E0,2.581246495E-1,3.234159946E-1,1.596090198E-1
1.390491625E0,1.715611368E-1,4.798782468E-1,4.401646927E-2
1.400473625E0,5.645104498E-2,5.805127025E-1,-4.933451861E-2
1.410455625E0,-7.176287472E-2,5.745853186E-1,-1.209203750E-1
1.420437625E0,-1.607787758E-1,4.570312798E-1,-1.564733237E-1
1.430419625E0,-1.614046246E-1,2.894566655E-1,-1.876404136E-1
1.440401625E0,-6.813060492E-2,1.909737587E-1,-2.039584070E-1
1.450383625E0,2.802278101E-2,1.437388062E-1,-2.006430924E-1
1.460365625E0,4.232954979E-2,1.154246107E-1,-1.362417340E-1
1.470347625E0,-1.052050069E-1,9.224044532E-2,-2.989243902E-2
1.480329625E0,-3.964493871E-1,5.701587349E-2,5.855806544E-2
1.490311625E0,-7.883281112E-1,6.848620623E-2,1.429452002E-1
1.500294625E0,-1.173513293E0,1.717896760E-1,1.440610737E-1
1.510276625E0,-1.435586452E0,3.816419840E-1,3.206164390E-2
1.520258625E0,-1.585667014E0,5.631675720E-1,-1.818937808E-1
1.530240625E0,-1.699741244E0,5.975613594E-1,-3.758381903E-1
1.540222625E0,-1.865628719E0,4.552862048E-1,-5.350243449E-1
1.550204625E0,-2.071531773E0,2.492456436E-1,-5.678646564E-1
1.560186625E0,-2.347412586E0,-9.668245167E-2,-4.944983423E-1
1.570168625E0,-2.691341162E0,-5.879611373E-1,-4.467326105E-1
1.580150625E0,-3.063130856E0,-1.057085395E0,-4.383061230E-1
1.590132625E0,-3.427350760E0,-1.179361105E0,-3.834214807E-1
