"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.781357387837079E9,"2026-06-13 15:29:47.837 UTC+02:00"
"PAUSE",1.806268895417452E2,1.781357568463384E9,"2026-06-13 15:32:48.463 UTC+02:00"
