"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.781366159862530E9,"2026-06-13 17:55:59.863 UTC+02:00"
"PAUSE",1.805720262499526E2,1.781366340434544E9,"2026-06-13 17:59:00.435 UTC+02:00"
