"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.009791581E-3,2.068449906E0,-1.725326813E0,-3.656895812E-1
1.499179169E-2,-4.512582102E-1,-1.086952951E0,-8.289727000E-1
2.497379156E-2,-2.681550055E0,-1.430154689E0,-1.749262390E0
3.495679167E-2,-4.048978153E0,-1.607522374E0,-1.559285184E0
4.493879154E-2,-6.121840076E0,-1.758527888E0,4.389702134E-1
5.492079165E-2,-7.834521700E0,-1.817108218E0,3.670919409E0
6.490379153E-2,-8.533265140E0,-1.557629253E0,6.650226642E0
7.488579163E-2,-7.737752620E0,-1.359869403E0,8.126923998E0
8.486779174E-2,-5.498473093E0,-7.932011157E-1,7.647640010E0
9.485079162E-2,-2.957601492E0,-2.670131028E-1,5.653801453E0
1.048327917E-1,-6.038422528E-1,-3.951489866E-2,3.140899715E0
1.148147916E-1,1.427073791E0,-2.889027393E-1,1.179011222E0
1.247977917E-1,1.973122457E0,-8.855994022E-1,-1.128737739E-1
1.347797916E-1,1.722872298E0,-1.340368354E0,-7.097633949E-1
1.447617917E-1,9.285297326E-1,-1.905362583E0,-8.964623594E-1
1.547437916E-1,-3.682419274E-2,-2.265942830E0,5.677646399E-3
1.647267917E-1,-5.566678305E-1,-2.126038840E0,1.941510947E0
1.747087915E-1,-7.065011602E-1,-1.604491763E0,3.533295541E0
1.846907916E-1,-3.521333599E-1,-9.482751220E-1,3.292329737E0
1.946737915E-1,3.949558457E-2,-1.795662385E-1,3.191864339E0
2.046557916E-1,-1.898857519E-1,6.382031232E-1,3.377321648E0
2.146377917E-1,-6.687492701E-1,1.325096011E0,3.662713719E0
2.246207916E-1,-8.813496459E-1,2.057981928E0,3.999391426E0
2.346027917E-1,-1.207125439E0,2.692110127E0,3.939831102E0
2.445847916E-1,-1.625785275E0,3.196357048E0,3.874194937E0
2.545677917E-1,-1.627439891E0,3.150974468E0,3.948329153E0
2.645497916E-1,-1.395048883E0,2.966117084E0,3.765118053E0
2.745317917E-1,-1.560343676E0,2.805663055E0,3.431321561E0
2.845137916E-1,-1.842881721E0,2.570470499E0,3.071899355E0
2.944967917E-1,-2.034324532E0,2.355671278E0,2.578164266E0
3.044787915E-1,-2.241439635E0,2.215227590E0,2.107575088E0
3.144607916E-1,-2.050302633E0,2.175933132E0,1.773414899E0
3.244437915E-1,-1.658725711E0,2.112318934E0,1.533186722E0
3.344257916E-1,-1.348512063E0,2.009327247E0,1.309561129E0
3.444077917E-1,-1.058983233E0,2.223168694E0,9.514291102E-1
3.543907916E-1,-8.274507429E-1,2.405245727E0,5.767079562E-1
3.643727917E-1,-5.902550412E-1,2.380160587E0,4.558272976E-1
3.743547916E-1,-5.274506461E-1,2.253987029E0,3.764022285E-1
3.843377917E-1,-5.906477549E-1,2.072229254E0,2.330179757E-1
3.943197916E-1,-7.278190121E-1,1.982367489E0,6.891236007E-2
4.043017917E-1,-8.907702412E-1,1.895740989E0,-1.253476390E-1
4.142837916E-1,-9.503491294E-1,1.687598239E0,-3.155707204E-1
4.242667917E-1,-8.396694501E-1,1.410418582E0,-5.888628557E-1
4.342487915E-1,-5.602388348E-1,1.001550273E0,-9.418306133E-1
4.442307916E-1,3.062062584E-2,4.612201846E-1,-1.379757830E0
4.542137915E-1,7.101955772E-1,-8.834441185E-2,-2.025106835E0
4.641957916E-1,1.340061521E0,-6.695108700E-1,-2.749835301E0
4.741777917E-1,1.933383171E0,-1.195756770E0,-3.562388362E0
4.841607916E-1,2.522751080E0,-1.689312057E0,-4.239253860E0
4.941427917E-1,3.106518380E0,-2.149322453E0,-4.315578443E0
5.041247916E-1,3.293329026E0,-2.569643703E0,-3.946440503E0
5.141077917E-1,3.046512791E0,-2.732184019E0,-3.549520687E0
5.240897916E-1,2.375521406E0,-2.616305069E0,-3.531303979E0
5.340717917E-1,1.583638837E0,-1.984036869E0,-3.905248623E0
5.440537916E-1,9.298843863E-1,-7.949225360E-1,-3.883199065E0
5.540367917E-1,5.624028893E-1,5.633692878E-1,-2.908489265E0
5.640187915E-1,9.460517183E-2,1.915574745E0,-1.644891637E0
5.740007916E-1,-5.252688307E-1,3.253317699E0,2.120668173E-2
5.839837915E-1,-1.149813662E0,4.405274146E0,2.411860389E0
5.939657916E-1,-1.906045245E0,4.881531031E0,4.735479570E0
6.039477917E-1,-3.223203369E0,3.774623287E0,5.798270949E0
6.139307916E-1,-4.456196378E0,1.202996793E0,5.077996892E0
6.239127917E-1,-5.523694473E0,-2.103808311E0,4.074379920E0
6.338947916E-1,-6.936942523E0,-6.237119687E0,2.650216581E0
6.438767917E-1,-7.444563872E0,-1.045528469E1,6.475640769E-1
6.538597916E-1,-5.630440072E0,-1.338010172E1,-4.733546773E0
6.638417917E-1,-1.608577651E0,-1.318607005E1,-1.074361440E1
6.738237916E-1,2.202842018E0,-9.260671046E0,-9.450748240E0
6.838067917E-1,3.178087715E0,-3.878327165E0,-5.387164911E0
6.937887915E-1,2.793397643E0,4.456589895E-1,-1.555831965E0
7.037707916E-1,2.018263985E0,3.648892363E0,3.556975887E0
7.137537915E-1,4.284732188E-1,6.080056458E0,8.976296976E0
7.237357916E-1,-1.942071256E0,7.306074323E0,1.134769259E1
7.337177917E-1,-4.396851817E0,8.155234462E0,1.044732780E1
7.437007916E-1,-5.981091748E0,7.980056559E0,7.481623524E0
7.536827917E-1,-6.451911306E0,5.883830332E0,4.250675519E0
7.636647916E-1,-6.099741109E0,3.093983996E0,2.124114522E0
7.736477917E-1,-5.124144872E0,8.344000125E-1,1.086688584E0
7.836297916E-1,-2.984458630E0,-6.928962243E-1,8.363950825E-1
7.936117917E-1,-1.249928227E-1,-1.997152174E0,6.454274312E-1
8.035937916E-1,3.989508170E0,-3.214072942E0,6.620112312E-1
8.135767917E-1,8.016571251E0,-3.910331315E0,1.235432467E0
8.235587915E-1,9.258580082E0,-3.345553433E0,2.727147228E0
8.335407916E-1,6.710692114E0,-2.097244227E0,3.189377811E0
8.435237915E-1,3.801036329E0,-5.475531542E-1,2.181979737E0
8.535057916E-1,7.401192150E-1,6.774817944E-1,6.980300796E-1
8.634877917E-1,-1.056802295E0,9.091449702E-1,-1.188318527E0
8.734707916E-1,-1.781312441E0,3.340642941E-1,-2.071448066E0
8.834527917E-1,-2.292834614E0,4.618820894E-1,-1.783798969E0
8.934347916E-1,-1.742195884E0,5.845636904E-1,-1.067247249E0
9.034167917E-1,-1.146400789E0,4.340838414E-1,-5.846128436E-1
9.133997916E-1,-5.329744376E-1,3.470398504E-1,-5.559175962E-1
9.233817917E-1,-4.352456466E-1,3.336859792E-1,-9.459911265E-1
9.333637916E-1,-4.777656487E-1,4.638841760E-1,-1.078381518E0
9.433467917E-1,-4.103935914E-1,6.879477257E-1,-1.078690251E0
9.533287915E-1,-2.097634163E-1,9.409719497E-1,-8.457570595E-1
9.633107916E-1,8.210477494E-3,1.135480748E0,-4.052751946E-1
9.732937915E-1,1.895686683E-1,1.149897643E0,3.672511898E-2
9.832757916E-1,4.110833070E-1,1.045887371E0,3.803355774E-1
9.932577917E-1,5.312562333E-1,8.635653394E-1,5.650322360E-1
1.003240792E0,6.545656791E-1,6.525574529E-1,5.901752633E-1
1.013222042E0,7.442631367E-1,4.913947409E-1,4.581281769E-1
1.023204042E0,9.177552145E-1,3.162858349E-1,2.236086363E-1
1.033186042E0,1.044715077E0,1.407237697E-1,-5.519230708E-2
1.043169042E0,1.137199537E0,3.043651164E-2,-2.639561784E-1
1.053151042E0,1.223263388E0,2.133941352E-2,-3.641553084E-1
1.063133042E0,1.345474289E0,6.377031863E-2,-3.438561145E-1
1.073116042E0,1.454004312E0,1.340947813E-1,-3.360279353E-1
1.083098042E0,1.552187541E0,1.556470335E-1,-4.828649689E-1
1.093080042E0,1.722710476E0,2.547105610E-2,-7.629908913E-1
1.103063042E0,1.887635725E0,-3.159806103E-1,-1.095771722E0
1.113045042E0,1.945105669E0,-7.000210565E-1,-1.388049620E0
1.123027042E0,1.977551723E0,-8.174015719E-1,-1.691025876E0
1.133010042E0,2.040300679E0,-7.406147665E-1,-1.913800700E0
1.142992042E0,1.934611086E0,-6.220864427E-1,-1.915615968E0
1.152974042E0,1.689667422E0,-5.854080284E-1,-1.783334847E0
1.162957042E0,1.440197428E0,-6.921957278E-1,-1.629209113E0
1.172939042E0,1.358810033E0,-8.458348274E-1,-1.404738597E0
1.182921042E0,1.505607306E0,-8.942170286E-1,-1.053611689E0
1.192903042E0,1.778913475E0,-8.251888937E-1,-6.485866088E-1
1.202886042E0,2.151885726E0,-8.280148530E-1,-4.690029748E-1
1.212868042E0,2.471709273E0,-1.137471725E0,-5.013642436E-1
1.222850042E0,2.697034652E0,-1.693123273E0,-6.375078893E-1
1.232833042E0,2.715517116E0,-2.146552627E0,-9.747406434E-1
1.242815042E0,2.429549094E0,-2.437255724E0,-1.553790702E0
1.252797042E0,2.009878347E0,-2.595761461E0,-2.287359427E0
