"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.781359357186676E9,"2026-06-13 16:02:37.187 UTC+02:00"
"PAUSE",1.806538999166805E2,1.781359537841088E9,"2026-06-13 16:05:37.841 UTC+02:00"
