"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780839708577725E9,"2026-06-07 3:41:48.578 UTC+02:00"
"PAUSE",1.287950511249983E2,1.780839837371426E9,"2026-06-07 3:43:57.371 UTC+02:00"
