"time_acc","acc_x","acc_y","acc_z","time_gyro","gyro_x","gyro_y","gyro_z"
1.064570830E-2,3.079096985E0,-1.282383270E1,-4.505630493E0,1.944708405E-3,2.269476354E-1,3.619405925E-1,1.896130145E-1
2.059170837E-2,3.602558441E0,-1.415980453E1,-3.390449524E0,1.188970823E-2,1.176552102E-1,4.161300659E-1,1.297166198E-1
3.053770843E-2,3.337160339E0,-1.558708649E1,-2.517315216E0,2.183570829E-2,-8.670111746E-2,4.442980587E-1,9.313145280E-2
4.048370826E-2,3.412154388E0,-1.636861130E1,-1.665137329E0,3.178170836E-2,-3.096891046E-1,5.299437046E-1,7.070478052E-2
5.042870832E-2,2.953508148E0,-1.717139191E1,-8.713380432E-1,4.172770842E-2,-4.409360886E-1,4.150501490E-1,7.942861877E-3
6.037470838E-2,2.702480164E0,-1.816098404E1,-1.055904236E0,5.167270824E-2,-4.891377985E-1,4.705776572E-1,-6.840985268E-2
7.032070844E-2,1.819466400E0,-1.751881943E1,-1.976040802E0,6.161870831E-2,-4.919416010E-1,6.961894631E-1,-5.636277795E-2
8.026670828E-2,1.363065491E0,-1.523920990E1,-3.018323364E0,7.156470837E-2,-4.327475727E-1,7.973123789E-1,4.094924778E-2
9.021270834E-2,2.849474487E0,-1.276335846E1,-4.153862000E0,8.151070843E-2,-5.695099235E-1,7.927964926E-1,1.512776874E-2
1.001577084E-1,4.034111023E0,-1.166045197E1,-3.895199890E0,9.145670827E-2,-9.373956919E-1,1.037611246E0,-2.776578069E-1
1.101037082E-1,3.749852142E0,-1.204066132E1,-1.894759827E0,1.014017083E-1,-1.319822550E0,1.330320597E0,-7.328048348E-1
1.200497083E-1,3.553909607E0,-1.238120316E1,-5.189707947E-1,1.113477084E-1,-1.455928206E0,1.409058213E0,-1.103704333E0
1.299957084E-1,5.016817474E0,-1.254062164E1,5.846841431E-1,1.212937082E-1,-1.320928812E0,1.161446571E0,-1.400595903E0
1.399417084E-1,6.525530090E0,-1.234542755E1,1.285526733E0,1.312397083E-1,-1.140787363E0,9.194309115E-1,-1.675370932E0
1.498867082E-1,8.719966736E0,-1.065933380E1,2.073937225E0,1.411857083E-1,-9.875437021E-1,7.948378325E-1,-1.949976921E0
1.598327083E-1,9.043444061E0,-8.740773468E0,2.982996826E0,1.511307084E-1,-6.760727763E-1,8.192747831E-1,-2.482050657E0
1.697787084E-1,7.065906372E0,-9.118737488E0,2.040406952E0,1.610767082E-1,-2.945361137E-1,7.237562537E-1,-3.171221495E0
1.797247084E-1,1.098116455E0,-1.036579422E1,3.192860413E-1,1.710227083E-1,3.073465265E-2,3.787753880E-1,-3.318679810E0
1.896697083E-1,-4.302652588E0,-8.039781189E0,-1.138682098E0,1.809687084E-1,2.795556784E-1,-5.042282864E-2,-2.527507544E0
1.996157083E-1,-4.474195862E0,-5.778733063E0,-1.427132263E0,1.909137084E-1,3.724209368E-1,-2.256985754E-1,-1.139499545E0
2.095617084E-1,-1.218017120E0,-5.184468842E0,-4.035607910E-1,2.008597082E-1,4.441462457E-1,-2.535669506E-1,6.296723336E-2
2.195077084E-1,1.349892883E0,-6.286327515E0,1.255738678E0,2.108057083E-1,5.881301165E-1,-3.379863799E-1,7.612258792E-1
2.294537083E-1,2.956352234E0,-7.425009613E0,2.293829956E0,2.207517084E-1,7.062722445E-1,-2.414124012E-1,9.901120663E-1
2.393987083E-1,3.228636017E0,-7.863298187E0,2.649939423E0,2.306977084E-1,7.573348880E-1,7.374942303E-2,9.990344048E-1
2.493447084E-1,2.350711670E0,-7.370822296E0,2.113455048E0,2.406427083E-1,7.368336320E-1,5.523133278E-1,9.766374826E-1
2.592907082E-1,1.146016846E0,-6.476282501E0,3.195854187E-1,2.505887083E-1,6.827992797E-1,7.849203944E-1,9.526638389E-1
2.692367083E-1,-3.116519165E-1,-5.450465698E0,-8.569679260E-1,2.605347084E-1,6.456085443E-1,6.221389174E-1,7.812103033E-1
2.791817083E-1,-9.837542725E-1,-5.496120758E0,-9.907896423E-1,2.704807082E-1,6.058601737E-1,3.790437579E-1,5.197542906E-1
2.891277084E-1,-4.796026611E-1,-5.433401184E0,-6.724017334E-1,2.804257083E-1,5.898812413E-1,1.309319586E-1,2.775872052E-1
2.990737082E-1,1.627116394E-1,-4.856051788E0,-4.146377563E-2,2.903717083E-1,6.407939196E-1,-1.887466013E-1,-1.816771738E-2
3.090197083E-1,7.324269104E-1,-5.794151001E0,2.312241669E0,3.003177084E-1,7.034522295E-1,-2.669961154E-1,-2.529048622E-1
3.189657084E-1,1.568737793E0,-7.496261444E0,3.695515137E0,3.102637082E-1,6.665028334E-1,4.177879989E-1,-2.094240785E-1
3.289107084E-1,2.859952698E0,-7.359445953E0,2.580483856E0,3.202097083E-1,6.431040168E-1,9.569591284E-1,9.864057414E-3
3.388567083E-1,3.660937042E0,-6.939868469E0,8.370593262E-1,3.301547084E-1,7.006338239E-1,8.998340368E-1,2.509378493E-1
3.488027083E-1,3.796854401E0,-6.241570587E0,1.299298096E-1,3.401007084E-1,8.249805570E-1,5.951175690E-1,4.326437414E-1
3.587487084E-1,3.841012573E0,-5.235363007E0,-8.442443848E-2,3.500467082E-1,1.019819021E0,5.214837790E-1,4.261616170E-1
3.686937084E-1,3.825744324E0,-3.482957153E0,-1.912423096E0,3.599927083E-1,1.185423374E0,6.062332988E-1,5.245619640E-2
3.786397083E-1,4.137096863E0,-4.148622894E0,-4.926255798E0,3.699377084E-1,9.868618846E-1,3.214525580E-1,-3.994388282E-1
3.885857083E-1,4.565356293E0,-5.997278595E0,-5.406906281E0,3.798837084E-1,2.659101486E-1,-4.512221552E-3,-2.978101969E-1
3.985317084E-1,4.941823425E0,-7.151378632E0,-3.654799805E0,3.898297083E-1,-5.998513699E-1,2.380996346E-1,3.366104066E-1
4.084777082E-1,5.459147644E0,-7.081324310E0,-2.735411682E0,3.997757083E-1,-1.291864157E0,5.043798089E-1,8.821080327E-1
4.184227083E-1,6.015690308E0,-7.820936279E0,-1.488504639E0,4.097217084E-1,-1.635348916E0,7.468289733E-1,1.094189644E0
4.283687084E-1,5.985303497E0,-8.709488525E0,-5.852828979E-2,4.196667084E-1,-1.635370970E0,1.163036108E0,1.280813575E0
4.383147084E-1,6.120023346E0,-9.220076752E0,1.682052155E0,4.296127083E-1,-1.358324647E0,1.532219172E0,1.532813430E0
4.482607082E-1,5.832321625E0,-9.514664154E0,3.614234161E0,4.395587083E-1,-6.725441217E-1,1.568044543E0,1.712467194E0
4.582067083E-1,4.165986786E0,-9.111402740E0,2.680775299E0,4.495047084E-1,3.604175895E-2,1.483842254E0,1.999375105E0
4.681517084E-1,3.021017761E0,-8.396788788E0,1.576222229E-1,4.594507082E-1,4.149765670E-1,1.281671405E0,2.342969418E0
4.780977084E-1,2.906805267E0,-8.578959961E0,-2.638413391E0,4.693957083E-1,4.982049465E-1,9.400978088E-1,2.390236378E0
4.880437083E-1,2.929258575E0,-9.139544220E0,-4.060905304E0,4.793417084E-1,2.805506587E-1,4.172902405E-1,2.344659567E0
4.979897083E-1,3.465892639E0,-9.494007111E0,-3.415297852E0,4.892877084E-1,2.288009040E-2,1.395489872E-1,2.195958138E0
5.079347084E-1,4.156257019E0,-9.829459534E0,-2.618355103E0,4.992337083E-1,7.647541165E-2,1.370341629E-1,1.890620947E0
5.178807084E-1,3.996239777E0,-9.522747345E0,-1.148112488E0,5.091787083E-1,2.238646448E-1,-1.106893122E-1,1.519737840E0
5.278267083E-1,3.454516296E0,-9.058412933E0,-8.502319336E-2,5.191247084E-1,3.882271945E-1,-2.791747153E-1,1.109860659E0
5.377727083E-1,2.899919586E0,-9.323960724E0,-2.362088013E-1,5.290707084E-1,3.427246809E-1,-3.999456763E-1,7.000780106E-1
5.477177084E-1,2.302811279E0,-9.808203735E0,-3.927832031E-1,5.390167083E-1,1.736602783E-1,-5.448359847E-1,2.707854509E-1
5.576637082E-1,1.449735260E0,-1.132410141E1,3.594026184E-1,5.489617083E-1,1.200616881E-1,-5.394581556E-1,-1.603239402E-2
5.676097083E-1,1.503473511E0,-1.163560364E1,7.349716187E-1,5.589077084E-1,2.427037209E-1,-4.547645748E-1,-9.673032910E-3
5.775557084E-1,2.329156494E0,-1.086785019E1,6.608757019E-1,5.688537082E-1,3.816534281E-1,-3.962819576E-1,1.004539579E-1
5.875017084E-1,2.875969391E0,-1.017104919E1,6.087840271E-1,5.787997083E-1,5.319446921E-1,-2.995703220E-1,2.032399923E-1
5.974467082E-1,3.287912750E0,-9.987381134E0,-6.930587769E-2,5.887457083E-1,6.919704676E-1,-2.390745431E-1,2.728638649E-1
6.073927083E-1,4.000730438E0,-1.108175537E1,-1.077010345E0,5.986907084E-1,7.635613084E-1,-2.675868869E-1,3.608762622E-1
6.173387084E-1,4.236190796E0,-1.091664871E1,-1.520388336E0,6.086367082E-1,8.159059286E-1,-2.993158102E-1,4.221663475E-1
6.272847084E-1,4.345463562E0,-1.037971527E1,-1.380429382E0,6.185827083E-1,8.152974248E-1,-2.122088522E-1,5.288462043E-1
6.372297083E-1,4.222269745E0,-1.017179764E1,-1.412762146E0,6.285287084E-1,8.288989067E-1,3.342610598E-2,6.158995628E-1
6.471757083E-1,3.455264740E0,-9.949809265E0,-1.564546509E0,6.384737084E-1,8.641508818E-1,2.231281251E-1,6.543244123E-1
6.571217084E-1,2.717149658E0,-1.058553726E1,-7.090754700E-1,6.484197082E-1,8.736998439E-1,4.105515182E-1,7.569874525E-1
6.670677084E-1,2.916984100E0,-1.195743439E1,4.357438660E-1,6.583657083E-1,9.836585522E-1,9.972000718E-1,8.731961250E-1
6.770137083E-1,2.840044098E0,-1.124536514E1,-1.103954315E0,6.683117084E-1,1.066302299E0,1.575516582E0,9.126758575E-1
6.869587083E-1,2.514920197E0,-1.044812302E1,-2.723436584E0,6.782577084E-1,7.814000249E-1,1.679998279E0,7.913100123E-1
