"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.781358146622524E9,"2026-06-13 15:42:26.623 UTC+02:00"
"PAUSE",1.807239169166423E2,1.781358327346108E9,"2026-06-13 15:45:27.346 UTC+02:00"
