"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.781358911036824E9,"2026-06-13 15:55:11.037 UTC+02:00"
"PAUSE",1.805913643334061E2,1.781359091628206E9,"2026-06-13 15:58:11.628 UTC+02:00"
