"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.462041633E-3,-6.122268677E-2,-9.664203186E0,-1.482517090E0
8.519958472E-3,-5.875282288E-1,-9.552385712E0,-2.308649139E0
1.850295835E-2,-1.080004120E0,-9.748927002E0,-2.989583130E0
2.848495846E-2,-1.310075684E0,-9.810000000E0,-3.082839203E0
3.846695833E-2,-1.219364319E0,-9.839788055E0,-2.668500824E0
4.844895843E-2,-9.765692139E-1,-9.877659302E0,-2.043999481E0
5.843195855E-2,-9.261241150E-1,-9.807155914E0,-1.380130005E0
6.841395842E-2,-8.812174988E-1,-9.671088867E0,-8.976832581E-1
7.839595852E-2,-8.809181213E-1,-9.444310455E0,-6.131250000E-1
8.837895840E-2,-1.012793884E0,-8.957073669E0,-3.671864319E-1
9.836095851E-2,-1.111738129E0,-8.857680359E0,-4.601431274E-1
1.083429584E-1,-1.079105988E0,-8.697663116E0,-5.742059326E-1
1.183259585E-1,-1.083446960E0,-8.469238129E0,-5.424719238E-1
1.283079584E-1,-1.020278320E0,-8.154143372E0,-5.029541016E-1
1.382899585E-1,-9.042695618E-1,-8.109236755E0,-6.249504089E-1
1.482719583E-1,-5.724096680E-1,-8.390202484E0,-8.265811157E-1
1.582549585E-1,-3.641926575E-1,-8.813671875E0,-1.197210388E0
1.682369583E-1,-1.948947144E-1,-9.409432983E0,-1.629511414E0
1.782189584E-1,1.227447510E-2,-9.944420471E0,-2.069895630E0
1.882019585E-1,6.122268677E-2,-1.015832565E1,-2.538421326E0
1.981839584E-1,-1.071771240E-1,-1.003692810E1,-2.584076385E0
2.081659585E-1,-2.737806702E-1,-9.767039337E0,-2.411934357E0
2.181479584E-1,-3.984713745E-1,-9.570048981E0,-2.055824890E0
2.281309585E-1,-4.593946838E-1,-9.555678864E0,-1.717378693E0
2.381129584E-1,-6.990463257E-2,-9.839039612E0,-1.458866272E0
2.480949585E-1,-1.972897339E-1,-9.894125061E0,-1.367705841E0
2.580779584E-1,-4.454736328E-1,-9.922565918E0,-1.513802032E0
2.680599585E-1,-6.656657410E-1,-9.915979614E0,-1.928739166E0
2.780414585E-1,-4.960684204E-1,-1.021490799E1,-2.298619995E0
2.880234583E-1,-4.120930481E-1,-1.020892044E1,-2.203567657E0
2.980064584E-1,-3.068618774E-2,-1.004890320E1,-2.072889404E0
3.079884585E-1,5.490582275E-1,-9.863139496E0,-1.956431580E0
3.179704584E-1,7.713459778E-1,-9.501940613E0,-1.871258698E0
3.279534585E-1,1.252894592E0,-9.423803101E0,-2.159858551E0
3.379354584E-1,1.611548767E0,-9.459279327E0,-2.284399567E0
3.479174585E-1,1.365161133E0,-9.378597107E0,-2.334395599E0
3.579004584E-1,1.038989410E0,-9.314979401E0,-2.452350311E0
3.678824585E-1,8.746311951E-1,-9.466464386E0,-2.461481323E0
3.778644584E-1,7.450007629E-1,-9.705966339E0,-2.363884277E0
3.878464585E-1,6.536906433E-1,-9.940229187E0,-2.257156219E0
3.978294584E-1,1.217867432E0,-1.099897751E1,-2.890788574E0
4.078114585E-1,1.138981476E0,-1.173140442E1,-3.049608307E0
4.177934583E-1,8.382568359E-1,-1.207823318E1,-2.956801300E0
4.277764584E-1,8.412506104E-1,-1.239332794E1,-2.905458069E0
4.377584585E-1,7.785310364E-1,-1.226264969E1,-2.517165527E0
4.477404584E-1,5.111869812E-1,-1.200099380E1,-2.317331085E0
4.577224585E-1,2.336640930E-1,-1.119866226E1,-1.996548157E0
4.677054584E-1,-4.131408691E-2,-1.018916153E1,-1.571731567E0
4.776874585E-1,-4.016148376E-1,-9.385782166E0,-1.235530701E0
4.876694584E-1,-7.782316589E-1,-8.887019348E0,-8.782237244E-1
4.976524585E-1,-1.320853271E0,-8.737480316E0,-5.893244934E-1
5.076344584E-1,-1.917063446E0,-8.775650940E0,-3.234773254E-1
5.176164585E-1,-2.348166962E0,-8.916957092E0,-2.327659607E-1
5.275994583E-1,-2.786156158E0,-9.303303680E0,-2.127076721E-1
5.375814585E-1,-3.201841736E0,-9.918374634E0,-3.240760803E-1
5.475634583E-1,-3.647764435E0,-1.070498886E1,-6.569837952E-1
5.575454584E-1,-4.152664490E0,-1.150253036E1,-8.948391724E-1
5.675284585E-1,-4.696184235E0,-1.234647537E1,-1.116228790E0
5.775104584E-1,-5.134772186E0,-1.297067734E1,-1.038839722E0
5.874924585E-1,-4.984484711E0,-1.289568329E1,-1.062640228E0
5.974754584E-1,-4.246968384E0,-1.224962677E1,-1.529070282E0
6.074574585E-1,-3.059637451E0,-1.131526978E1,-2.146087189E0
6.174394584E-1,-1.961670685E0,-1.034498749E1,-2.321971436E0
6.274214585E-1,-1.440903625E0,-9.655820618E0,-2.414479065E0
6.374044584E-1,-5.376818848E-1,-9.224567413E0,-2.401456146E0
6.473864585E-1,6.797364807E-1,-9.213041382E0,-1.887874146E0
6.573684583E-1,1.978735199E0,-9.697733459E0,-1.914369049E0
6.673514585E-1,2.744093628E0,-1.045216461E1,-2.772684174E0
6.773334583E-1,2.903212738E0,-1.088296875E1,-3.396287384E0
6.873154584E-1,2.288890228E0,-1.053883438E1,-3.657344513E0
6.972974585E-1,1.528621216E0,-9.837542725E0,-3.233575745E0
7.072804584E-1,1.346000977E0,-8.906329193E0,-2.842439117E0
7.172624585E-1,1.340163116E0,-7.951315155E0,-2.695893860E0
7.272444584E-1,1.040785675E0,-7.384593658E0,-2.546504517E0
7.372274585E-1,8.764274597E-1,-7.052434387E0,-2.394420776E0
7.472094584E-1,5.625302124E-1,-6.844965820E0,-1.958377533E0
7.571914585E-1,7.873626709E-2,-6.545887756E0,-1.762884064E0
7.671744584E-1,-5.619314575E-1,-6.416856079E0,-1.924697571E0
7.771564585E-1,-9.717791748E-1,-6.465654602E0,-1.983225861E0
7.871384583E-1,-1.046623535E0,-6.584956512E0,-1.978735199E0
7.971204584E-1,-1.020877075E0,-6.678511963E0,-1.883832550E0
8.071034583E-1,-9.372010803E-1,-6.777007141E0,-1.878593445E0
8.170854584E-1,-8.060737610E-1,-6.768923950E0,-2.137704620E0
8.270674585E-1,-7.373666382E-1,-6.913074188E0,-2.393971710E0
8.370504584E-1,-6.694079590E-1,-6.921307068E0,-2.681673431E0
8.470324585E-1,-5.608836365E-1,-6.888974304E0,-3.037333832E0
8.570144584E-1,-2.365081787E-1,-7.010222168E0,-3.480113068E0
8.669964585E-1,1.547781372E-1,-7.394622803E0,-3.973786469E0
8.769794584E-1,6.912625122E-1,-8.077203369E0,-4.392615509E0
8.869614585E-1,1.277144165E0,-8.960815887E0,-4.703968048E0
8.969434584E-1,1.909878387E0,-9.870623932E0,-4.813091125E0
9.069264585E-1,2.543061676E0,-1.069031937E1,-5.103936310E0
9.169084583E-1,2.882256317E0,-1.142289597E1,-5.546266479E0
9.268904584E-1,3.068469086E0,-1.176373718E1,-5.852080536E0
9.368734583E-1,3.037782898E0,-1.159937897E1,-6.012846222E0
9.468554584E-1,2.879412231E0,-1.094793365E1,-6.003415833E0
9.568374585E-1,2.517764282E0,-1.005743546E1,-5.837710419E0
9.668194584E-1,2.141147461E0,-9.084758148E0,-5.715414734E0
9.768024585E-1,1.762884064E0,-8.148006134E0,-5.325026550E0
9.867844584E-1,1.314716034E0,-7.382198639E0,-4.900209961E0
9.967664585E-1,1.019829254E0,-7.237749023E0,-4.077221375E0
1.006749458E0,1.195114746E0,-8.141719208E0,-3.509002991E0
1.016731458E0,1.507215729E0,-9.564959564E0,-3.018323364E0
1.026713458E0,1.487905884E0,-1.018317398E1,-2.508034515E0
1.036695458E0,8.428971863E-1,-1.014575180E1,-2.255210266E0
1.046678458E0,-1.532812500E-1,-1.044812302E1,-1.887425079E0
1.056660458E0,-1.005010071E0,-1.144624741E1,-1.699416046E0
1.066642459E0,-1.785786438E0,-1.319446198E1,-1.849853210E0
1.076625458E0,-2.542762299E0,-1.531405426E1,-2.562670898E0
1.086607459E0,-3.139122162E0,-1.668355637E1,-3.942052460E0
1.096589458E0,-2.790946198E0,-1.534114792E1,-4.557722168E0
1.106571459E0,-2.451751556E0,-1.150208130E1,-3.473227386E0
1.116554458E0,-2.290536804E0,-8.811875610E0,-1.818568268E0
1.126536458E0,-1.561702423E0,-7.400909729E0,-6.469546509E-1
1.136518458E0,-7.899073792E-1,-6.635551300E0,2.034269714E-1
1.146501458E0,-1.258882141E-1,-6.325096893E0,1.044827271E0
1.156483458E0,5.376818848E-1,-6.209387512E0,1.679507446E0
1.166465458E0,1.042731628E0,-6.379284210E0,2.057770844E0
1.176447458E0,1.355431366E0,-6.950945435E0,2.205663300E0
1.186430458E0,1.560804291E0,-7.749983826E0,2.160307617E0
1.196412459E0,1.991608429E0,-8.979377289E0,1.896556091E0
1.206394458E0,2.225571899E0,-1.019005966E1,1.328038330E0
1.216377459E0,1.993554382E0,-1.110016708E1,7.590715027E-1
1.226359458E0,1.289568329E0,-1.169682632E1,1.866618347E-1
1.236341459E0,4.085005188E-1,-1.177765823E1,-1.836680603E-1
1.246324458E0,-2.477348328E-1,-1.133802246E1,-5.215155029E-1
1.256306458E0,-4.282594299E-1,-1.067520081E1,-1.018332367E0
1.266288458E0,-3.775149536E-1,-1.003483246E1,-1.895208893E0
1.276271000E0,-2.468367004E-1,-9.591155090E0,-3.116668854E0
1.286254000E0,-1.025367737E-1,-9.334888000E0,-4.183799744E0
1.296236000E0,8.711883545E-2,-9.143885193E0,-4.398004303E0
1.306218000E0,3.456312561E-1,-9.044192505E0,-3.861070862E0
1.316201000E0,4.917274475E-1,-8.967402191E0,-2.703677673E0
1.326183000E0,4.995112610E-1,-8.901688843E0,-1.384321289E0
1.336165000E0,4.629872131E-1,-8.677155762E0,-1.802252197E-1
1.346147000E0,3.924838257E-1,-8.387957153E0,8.027806091E-1
1.356130000E0,3.647914124E-1,-8.127947845E0,1.410217438E0
1.366112000E0,6.893165588E-1,-7.925718384E0,1.611399078E0
1.376094000E0,9.618997192E-1,-7.546556854E0,1.615889740E0
