"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.101595839E-2,2.403465103E-1,3.674916565E-2,-4.114858148E-1
2.099895850E-2,-2.696375524E-1,-1.491314811E-1,-1.139359498E0
3.098095837E-2,-5.078023204E-1,-2.033930576E-1,-1.264715323E0
4.096295848E-2,-4.191207435E-1,-2.295874143E-1,-8.685674863E-1
5.094495835E-2,-1.734887888E-1,-2.656600571E-1,-2.549676923E-1
6.092795846E-2,-1.171376366E-1,-1.937556767E-1,3.986845055E-1
7.090995833E-2,-6.512621485E-2,-5.584149420E-2,8.678541259E-1
8.089195844E-2,-5.740525894E-2,1.738593560E-1,1.132937940E0
9.087495855E-2,-1.793840247E-1,6.653394663E-1,1.350574669E0
1.008569584E-1,-2.649633613E-1,7.694275063E-1,1.224455051E0
1.108389585E-1,-2.129466771E-1,9.341260296E-1,1.073372208E0
1.208219584E-1,-1.898617966E-1,1.167120032E0,1.063206093E0
1.308039585E-1,-8.897042938E-2,1.486609556E0,1.054175653E0
1.407859584E-1,7.417858176E-2,1.535606884E0,8.769570713E-1
1.507679585E-1,4.582316726E-1,1.258486285E0,6.144944179E-1
1.607509584E-1,7.215093548E-1,8.384655815E-1,1.788731973E-1
1.707329585E-1,9.442768691E-1,2.457128656E-1,-3.193363273E-1
1.807149583E-1,1.200436151E0,-2.870766538E-1,-8.208637083E-1
1.906979585E-1,1.295565672E0,-5.001556242E-1,-1.341650648E0
2.006799583E-1,1.172832761E0,-3.795439374E-1,-1.429686327E0
2.106619584E-1,1.052861637E0,-1.120618880E-1,-1.290534435E0
2.206439585E-1,9.776155731E-1,8.120730042E-2,-9.623240809E-1
2.306269584E-1,9.653343737E-1,9.130602658E-2,-6.487648027E-1
2.406089585E-1,1.398754118E0,-1.959893131E-1,-4.144892371E-1
2.505909584E-1,1.310746652E0,-2.544579613E-1,-3.485151029E-1
2.605739585E-1,1.098242609E0,-2.858311969E-1,-5.206290650E-1
2.705559584E-1,9.096957779E-1,-2.821445274E-1,-9.573635955E-1
2.805374584E-1,1.106496246E0,-5.842444324E-1,-1.340390135E0
2.905194585E-1,1.216726348E0,-5.820417863E-1,-1.251589494E0
3.005024584E-1,1.624134899E0,-4.260772491E-1,-1.124795107E0
3.104844585E-1,2.227596498E0,-2.438762552E-1,-1.013884902E0
3.204664583E-1,2.471778855E0,1.144025284E-1,-9.382113330E-1
3.304494584E-1,2.968969356E0,1.907981551E-1,-1.237553837E0
3.404314585E-1,3.334419165E0,1.552476686E-1,-1.374073459E0
3.504134584E-1,3.088131518E0,2.371776849E-1,-1.437541476E0
3.603964585E-1,2.756685607E0,3.028460097E-1,-1.567438542E0
3.703784584E-1,2.583355424E0,1.537601370E-1,-1.585329852E0
3.803604585E-1,2.445004600E0,-8.320412457E-2,-1.498701013E0
3.903424584E-1,2.341092123E0,-3.140334874E-1,-1.405602815E0
4.003254585E-1,2.883323434E0,-1.368044980E0,-2.049661925E0
4.103074584E-1,2.774130190E0,-2.094983109E0,-2.211884737E0
4.202894585E-1,2.436701847E0,-2.436022546E0,-2.114867735E0
4.302724584E-1,2.396287792E0,-2.745282952E0,-2.049191809E0
4.402544585E-1,2.280595661E0,-2.608515993E0,-1.635345765E0
4.502364583E-1,1.953276130E0,-2.341190064E0,-1.398266898E0
4.602184584E-1,1.605672900E0,-1.533679642E0,-1.026082193E0
4.702014585E-1,1.249901549E0,-5.199554658E-1,-5.347512603E-1
4.801834584E-1,7.998014528E-1,2.862007409E-1,-1.195368954E-1
4.901654585E-1,3.264618174E-1,7.860055321E-1,3.252502012E-1
5.001484584E-1,-3.164730920E-1,9.345008361E-1,7.068592291E-1
5.101304585E-1,-1.013262539E0,8.928142816E-1,1.069371543E0
5.201124584E-1,-1.543279601E0,7.453428251E-1,1.259955544E0
5.300954585E-1,-2.078271035E0,3.503739327E-1,1.381507463E0
5.400774584E-1,-2.590034991E0,-2.756716597E-1,1.373002395E0
5.500594585E-1,-3.131177550E0,-1.075929195E0,1.145919782E0
5.600414583E-1,-3.729833615E0,-1.890131755E0,1.018041468E0
5.700244585E-1,-4.363872351E0,-2.753766677E0,9.100030491E-1
5.800064583E-1,-4.886434506E0,-3.399614450E0,1.098726027E0
5.899884584E-1,-4.809593906E0,-3.347343265E0,1.181177031E0
5.999714585E-1,-4.134298385E0,-2.725297753E0,8.183881433E-1
6.099534584E-1,-3.001389828E0,-1.817278957E0,3.076620689E-1
6.199354585E-1,-1.952458981E0,-8.764549416E-1,2.437461546E-1
6.299174584E-1,-1.480539269E0,-2.211364335E-1,2.727623776E-1
6.399004585E-1,-6.355940225E-1,1.725478256E-1,4.129256916E-1
6.498824584E-1,5.031728605E-1,1.462599134E-1,1.046135000E0
6.598644585E-1,1.694893663E0,-3.738885105E-1,1.122315157E0
6.698474584E-1,2.319929588E0,-1.161196218E0,3.472658452E-1
6.798294585E-1,2.313012478E0,-1.623585261E0,-2.101319736E-1
6.898114583E-1,1.525764559E0,-1.311905277E0,-4.142714283E-1
6.997934585E-1,6.018824854E-1,-6.443198955E-1,6.216555029E-2
7.097764583E-1,2.746225230E-1,2.516442811E-1,5.071541566E-1
7.197584584E-1,1.486119559E-1,1.170584507E0,7.110486129E-1
