"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.781357927977109E9,"2026-06-13 15:38:47.977 UTC+02:00"
"PAUSE",1.805889324583113E2,1.781358108566413E9,"2026-06-13 15:41:48.566 UTC+02:00"
