"time_acc","acc_x","acc_y","acc_z","time_gyro","gyro_x","gyro_y","gyro_z"
4.334900417E-1,-2.947520599E0,-1.763827103E1,-1.336241272E1,4.385180417E-1,-6.273432970E-1,-2.156247616E0,3.898431957E-1
4.435460417E-1,2.302212524E-1,-2.221605148E1,-1.101619171E1,4.485740417E-1,-1.188621283E0,-2.166366577E0,-4.784518182E-1
4.536020417E-1,3.141217804E0,-2.522913574E1,-1.075393707E1,4.586300417E-1,-1.167139649E0,-1.529098392E0,-1.118105054E0
4.636570417E-1,2.818638611E0,-2.232382736E1,-7.070397034E0,4.686850417E-1,-1.231005549E0,-7.581821084E-1,-1.386791587E0
4.737130417E-1,1.015637970E0,-1.527842834E1,-5.434748383E0,4.787410417E-1,-1.415196896E0,-5.603723526E-1,-1.457519770E0
4.837690417E-1,-6.855743408E-2,-1.066113007E1,-7.509883118E0,4.887970417E-1,-1.284547329E0,-6.560999751E-1,-1.439688206E0
4.938250417E-1,-4.700225830E-2,-8.432265015E0,-8.716523895E0,4.988520417E-1,-9.378353953E-1,-7.393716574E-1,-1.297851682E0
5.038800417E-1,9.372010803E-1,-6.908433838E0,-8.283923492E0,5.089080417E-1,-7.306966186E-1,-6.492598057E-1,-1.026466608E0
5.139360417E-1,1.648372192E0,-5.710175629E0,-7.114704895E0,5.189640417E-1,-6.248500943E-1,-5.025295019E-1,-7.072606683E-1
5.239920417E-1,1.440604248E0,-4.659660187E0,-6.606960754E0,5.290200417E-1,-6.344014406E-1,-4.362131059E-1,-3.624376357E-1
5.340480417E-1,7.750881958E-1,-3.642675018E0,-7.704777832E0,5.390750417E-1,-5.994858146E-1,-4.252206385E-1,8.203010075E-3
5.441030417E-1,6.007008362E-1,-3.584745483E0,-9.443711700E0,5.491310417E-1,1.510367692E-1,3.224532604E-1,3.950869143E-1
5.541590417E-1,2.230361938E-1,-4.000730438E0,-1.913770294E0,5.591870417E-1,5.880804062E-1,1.260908365E0,6.437212229E-1
5.642150417E-1,-2.941233673E0,-4.806355133E0,3.139870605E0,5.692430417E-1,9.199420214E-1,1.168120503E0,9.309406877E-1
5.742700417E-1,-8.550219727E0,-1.034618500E1,-3.841012573E-1,5.792980417E-1,1.336044788E0,1.028575182E0,1.216262460E0
5.843260417E-1,-1.386372025E1,-1.565384766E1,2.114652557E0,5.893540417E-1,1.518522382E0,9.569085240E-1,1.353515625E0
5.943820417E-1,-1.742256958E1,-1.999407211E1,3.308569794E0,5.994100417E-1,1.389541507E0,8.066303730E-1,9.644429684E-1
6.044380417E-1,-1.762060776E1,-1.963661545E1,9.487271118E-1,6.094660417E-1,8.632826209E-1,1.062043786E0,5.277212858E-1
6.144930417E-1,-9.771080933E0,-1.618434448E1,6.472540283E-1,6.195210417E-1,3.827492893E-1,1.666416168E0,2.534750700E-1
6.245490417E-1,-5.577401733E-1,-1.432401306E1,4.657265167E0,6.295770417E-1,6.231285334E-1,1.657833576E0,1.513486635E-2
6.346050417E-1,7.493417358E-1,-1.266665955E1,8.209977264E0,6.396330417E-1,8.672674298E-1,1.888835311E0,-4.718896002E-2
6.446610417E-1,-6.816824341E-1,-9.929002533E0,7.901169434E0,6.496880417E-1,1.028521538E0,2.083737373E0,2.546343207E-1
6.547160417E-1,-1.833986206E0,-7.541168060E0,4.714745636E0,6.597440417E-1,1.380737901E0,2.104368210E0,5.964459777E-1
6.647720417E-1,-2.361040192E0,-6.080056458E0,2.145338745E0,6.698000417E-1,1.789266944E0,2.195421934E0,8.938372731E-1
6.748280417E-1,-2.477348328E0,-5.792953491E0,1.408421173E0,6.798560417E-1,2.103143692E0,2.229304552E0,1.100616813E0
6.848840417E-1,-2.804717560E0,-5.520969086E0,1.844015350E0,6.899110417E-1,2.341132164E0,2.202545643E0,1.306087494E0
6.949390417E-1,-3.362607422E0,-6.433172150E0,2.879861298E0,6.999670417E-1,2.449098825E0,2.466126204E0,1.580320477E0
7.049950417E-1,-3.607049103E0,-8.181237030E0,3.782783661E0,7.100230417E-1,2.362566471E0,2.807500362E0,1.843927503E0
7.150510417E-1,-3.619622955E0,-9.389374695E0,3.406166840E0,7.200790417E-1,1.980062842E0,2.806143045E0,1.964931965E0
7.251060417E-1,-3.734583893E0,-1.028346542E1,2.461181946E0,7.301340417E-1,1.382716179E0,2.215143442E0,1.947369099E0
7.351620417E-1,-3.530707855E0,-1.107187592E1,1.402283936E0,7.401900417E-1,6.913713217E-1,1.128138304E0,1.609973431E0
7.452180417E-1,-3.528612213E0,-1.246038849E1,1.999841309E-1,7.502460417E-1,3.482231796E-1,-4.603004158E-1,1.099193931E0
7.552740417E-1,-2.368973694E0,-1.327469513E1,-2.049088898E0,7.603010417E-1,7.448346615E-1,-2.237939119E0,9.715871811E-1
7.653290417E-1,-4.531077576E-1,-1.246128662E1,-3.637136536E0,7.703570417E-1,1.571610451E0,-3.198032856E0,1.020318151E0
7.753850417E-1,2.670446777E-1,-1.012973511E1,-1.551822968E0,7.804130417E-1,2.270300388E0,-2.693362713E0,8.393670321E-1
7.854410417E-1,4.923262024E-1,-7.925868073E0,1.620979156E0,7.904690417E-1,2.319105148E0,-4.646536708E-1,5.975018740E-1
7.954970417E-1,-3.799099731E-1,-6.887627106E0,4.194876709E0,8.005240417E-1,1.578340292E0,1.557978034E0,3.643615544E-1
8.055520417E-1,-8.086184692E-1,-6.233786774E0,3.247945862E0,8.105801250E-1,9.642713666E-1,2.391494751E0,1.394467950E-1
8.156081250E-1,-1.003513184E0,-5.449717255E0,3.213816833E-1,8.206361250E-1,9.024604559E-1,2.298924923E0,2.855278179E-2
8.256641250E-1,-1.806293793E0,-6.352639618E0,-1.299447784E0,8.306921250E-1,1.083140850E0,1.752746582E0,9.563229233E-2
8.357191250E-1,-2.144889679E0,-7.468718719E0,-1.371448059E0,8.407471250E-1,1.200224876E0,1.139700174E0,1.484939158E-1
8.457751250E-1,-2.096240845E0,-7.568411407E0,-5.514532471E-1,8.508031250E-1,1.179825664E0,6.709483862E-1,1.560920179E-1
