"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.598631666E-1,8.205616474E-1,2.325920820E0,1.760132313E-1
7.698441667E-1,8.848712444E-1,2.622227669E0,2.555572093E-1
7.798261668E-1,1.174440265E0,2.698702097E0,3.204038441E-1
7.898082500E-1,1.545625806E0,2.544138670E0,3.944061697E-1
7.997892501E-1,1.735476136E0,2.523651600E0,6.169074178E-1
8.097712500E-1,1.750474215E0,2.747297287E0,8.843826652E-1
8.197532501E-1,1.736534238E0,2.789365292E0,1.091387510E0
8.297342500E-1,1.682621121E0,2.405591249E0,1.293982387E0
8.397162501E-1,1.618483424E0,1.835539937E0,1.506147623E0
8.496982499E-1,1.614444375E0,1.287824392E0,1.688147306E0
8.596792500E-1,1.389671206E0,1.933869906E-2,1.879341722E0
8.696612499E-1,1.367070436E0,-6.658483744E-1,1.751622081E0
8.796432500E-1,1.439832687E0,-6.636281013E-1,1.320754886E0
8.896242501E-1,1.484086156E0,-3.395932019E-1,7.988793254E-1
8.996062500E-1,1.392330170E0,1.457455456E-1,4.515504241E-1
9.095882501E-1,1.257834435E0,6.352213025E-1,2.945399880E-1
9.195692500E-1,1.194686055E0,1.003436327E0,2.290115952E-1
9.295512501E-1,1.289112687E0,1.051583290E0,1.527141780E-1
9.395332499E-1,1.428653598E0,9.077726007E-1,3.376622498E-2
9.495142500E-1,1.541486740E0,9.711637497E-1,-5.378833041E-2
9.594962501E-1,1.513106465E0,9.993212819E-1,-5.066843703E-2
9.694782500E-1,1.381171823E0,6.968206763E-1,1.323843002E-2
9.794592501E-1,1.280210853E0,3.945024014E-1,1.269071996E-1
9.894412500E-1,1.255017996E0,2.292697430E-1,2.017567158E-1
9.994232501E-1,1.350073576E0,1.833222359E-1,2.791393697E-1
1.009404250E0,1.462713242E0,8.055008948E-2,3.591400385E-1
1.019386250E0,1.513041735E0,-3.702528030E-2,4.334440827E-1
1.029368250E0,1.485640883E0,-1.400031149E-1,5.059438944E-1
1.039349250E0,1.399140358E0,-2.114565223E-1,5.998368263E-1
1.049331250E0,1.300021052E0,-2.155040056E-1,6.958220601E-1
1.059313250E0,1.224840522E0,-8.492601663E-2,7.808464170E-1
1.069294250E0,1.153269887E0,9.973257780E-2,8.153033257E-1
1.079276250E0,1.125371218E0,2.782293558E-1,8.256055117E-1
1.089258250E0,1.131938577E0,3.862963915E-1,8.173767328E-1
1.099239250E0,1.123774171E0,3.963594139E-1,8.084905744E-1
1.109221250E0,1.101627469E0,2.841719985E-1,8.215117455E-1
1.119203250E0,9.905148149E-1,2.287617326E-1,8.482746482E-1
1.129184250E0,7.991342545E-1,6.668620557E-2,7.233587503E-1
1.139166250E0,6.363863349E-1,-9.688275307E-2,6.494117975E-1
1.149148250E0,5.502070189E-1,-1.462906003E-1,5.515146852E-1
1.159129250E0,4.933285415E-1,-1.914756596E-1,4.206736088E-1
1.169111250E0,3.558139205E-1,-2.228682935E-1,3.297607899E-1
1.179093250E0,1.633864194E-1,-1.681946665E-1,2.919295430E-1
1.189074250E0,4.701926187E-2,-6.379692256E-2,2.327783406E-1
1.199056250E0,7.094004005E-2,8.678432554E-2,9.341058135E-2
1.209038250E0,1.491444558E-1,3.416451514E-1,-1.134039611E-1
1.219019250E0,1.022158265E-1,7.157897353E-1,-3.234797120E-1
1.229001250E0,-2.449048162E-1,9.063164592E-1,-4.520843923E-1
