"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780769224998580E9,"2026-06-06 8:07:04.999 UTC+02:00"
"PAUSE",1.800155445833334E2,1.780769405012842E9,"2026-06-06 8:10:05.013 UTC+02:00"
