"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.479458392E-3,4.789260030E-1,-2.676357329E-1,1.763835669E0
1.346245850E-2,7.283875346E-1,-3.517015576E-1,1.942771077E0
2.344545838E-2,9.632559419E-1,-5.021161437E-1,2.063325167E0
3.342845850E-2,1.145719647E0,-5.949693918E-1,2.095150948E0
4.341045837E-2,1.271728516E0,-5.295277834E-1,2.029367447E0
5.339345848E-2,1.374340892E0,-2.270087898E-1,1.855196714E0
6.337645836E-2,1.457184196E0,2.602623403E-1,1.603377581E0
7.335945847E-2,1.492429018E0,8.763992786E-1,1.394778371E0
8.334245835E-2,1.451797485E0,1.541508794E0,1.211901426E0
9.332445846E-2,1.347653389E0,2.120086670E0,9.670420885E-1
1.033074583E-1,1.164289713E0,2.473464966E0,6.785215735E-1
1.132904585E-1,9.881126285E-1,2.378109932E0,5.078282952E-1
1.232734583E-1,8.259929419E-1,1.891011238E0,3.027031124E-1
1.332554584E-1,6.965863705E-1,1.067261100E0,1.877058446E-1
1.432384583E-1,5.998643637E-1,1.886381805E-1,2.324610651E-1
1.532214584E-1,5.501154661E-1,-5.634413958E-1,4.792060852E-1
1.632044583E-1,5.200347900E-1,-1.057559013E0,6.933239698E-1
1.731864584E-1,5.405699015E-1,-1.285747290E0,7.883411050E-1
1.831694585E-1,5.293151140E-1,-1.260122895E0,8.542602062E-1
1.931524584E-1,5.037018061E-1,-9.913898706E-1,9.065567851E-1
2.031354585E-1,5.058728456E-1,-5.459516644E-1,9.355088472E-1
2.131184584E-1,5.656110644E-1,-3.396940231E-2,9.328718185E-1
2.231004585E-1,6.768238544E-1,4.226545990E-1,9.195847511E-1
2.330834584E-1,8.140330911E-1,7.212867737E-1,9.302166700E-1
2.430664585E-1,9.373430610E-1,8.111999035E-1,9.286326170E-1
2.530494584E-1,1.026477575E0,7.064859867E-1,8.371353149E-1
2.630314585E-1,1.050340295E0,4.958584309E-1,7.288863659E-1
2.730144584E-1,9.934024811E-1,2.423449904E-1,7.157128453E-1
2.829974585E-1,8.648631573E-1,-2.113378420E-2,7.783538103E-1
2.929804584E-1,6.862466335E-1,-2.295033038E-1,8.673426509E-1
3.029624585E-1,5.041743517E-1,-3.615289629E-1,9.544245601E-1
3.129454583E-1,3.621980846E-1,-4.011981785E-1,9.719157815E-1
3.229284585E-1,2.687403262E-1,-3.579958379E-1,8.932222724E-1
3.329114583E-1,1.857975423E-1,-2.967816591E-1,7.450224161E-1
3.428944584E-1,1.027673706E-1,-2.621270120E-1,5.665086508E-1
3.528764583E-1,2.966298349E-2,-2.623345256E-1,3.894506991E-1
3.628594584E-1,-1.563046128E-2,-2.758191824E-1,2.353269160E-1
3.728424583E-1,-8.768862113E-3,-2.795400918E-1,8.735764772E-2
3.828254584E-1,-1.326800603E-2,-4.007549286E-1,-9.659780562E-2
3.928074585E-1,-2.150810324E-2,-5.966713428E-1,-2.875312865E-1
4.027904584E-1,2.047263645E-2,-6.770391464E-1,-4.470013976E-1
4.127734585E-1,7.020078599E-2,-5.898110867E-1,-5.885822177E-1
4.227564584E-1,9.236654639E-2,-4.544737935E-1,-7.393035889E-1
4.327384585E-1,6.443390250E-2,-4.149557650E-1,-9.106532335E-1
4.427214584E-1,-5.013885908E-3,-4.201137722E-1,-1.080255389E0
4.527044585E-1,-1.345949322E-1,-4.507366121E-1,-1.220159531E0
4.626874584E-1,-3.989309669E-1,-5.900897384E-1,-1.299117804E0
4.726694585E-1,-8.305535913E-1,-7.349063754E-1,-1.304829836E0
4.826524584E-1,-1.356392980E0,-7.795819640E-1,-1.303666353E0
4.926354585E-1,-1.871821523E0,-7.929692864E-1,-1.366122007E0
5.026184584E-1,-2.293907404E0,-7.670232058E-1,-1.477627754E0
5.126014585E-1,-2.611600637E0,-6.335389018E-1,-1.618522286E0
5.225834583E-1,-2.765468121E0,-3.427089155E-1,-1.790731668E0
5.325664585E-1,-2.777198792E0,1.187768765E-2,-1.955247402E0
5.425494583E-1,-2.687809706E0,4.162187874E-1,-1.975337982E0
5.525324584E-1,-2.533685446E0,9.494362473E-1,-1.901032448E0
5.625144583E-1,-2.321883917E0,1.574014664E0,-1.810772419E0
5.724974584E-1,-2.069111347E0,2.247951746E0,-1.703943610E0
5.824804583E-1,-1.788281918E0,2.849261999E0,-1.585113883E0
5.924634584E-1,-1.518614769E0,3.257219076E0,-1.471156001E0
6.024464583E-1,-1.324567199E0,3.365611792E0,-1.357230186E0
6.124284584E-1,-1.187435150E0,3.127575636E0,-1.280535340E0
6.224114585E-1,-1.087013721E0,2.752487183E0,-1.237391591E0
6.323944584E-1,-9.591758251E-1,2.372841597E0,-1.197978377E0
6.423774585E-1,-6.982139945E-1,2.021932840E0,-1.130437970E0
6.523600833E-1,-4.292894602E-1,1.898300052E0,-1.198604465E0
6.623430834E-1,-2.140247971E-1,1.872455120E0,-1.422875404E0
6.723260835E-1,-8.039274067E-2,1.889854074E0,-1.715665579E0
6.823090834E-1,-3.711929917E-2,1.876650572E0,-1.979856133E0
6.922910835E-1,-8.667487651E-3,1.672250509E0,-2.169206142E0
7.022740834E-1,5.292636901E-2,1.248166800E0,-2.210392952E0
7.122570835E-1,1.266034544E-1,6.375447512E-1,-2.100664139E0
7.222400834E-1,2.159682214E-1,-5.236071348E-2,-1.892033577E0
7.322230835E-1,3.117072582E-1,-6.825342774E-1,-1.642817378E0
7.422050834E-1,3.990559876E-1,-1.188930035E0,-1.372464895E0
7.521880835E-1,4.753219783E-1,-1.549212575E0,-1.089914799E0
7.621710834E-1,5.257681608E-1,-1.762010813E0,-8.002067208E-1
7.721540835E-1,5.449530482E-1,-1.825682640E0,-5.122305751E-1
7.821360833E-1,5.453264117E-1,-1.768719316E0,-2.291035205E-1
7.921190835E-1,5.496152639E-1,-1.645762086E0,2.831420675E-2
8.021020833E-1,5.633597970E-1,-1.541407704E0,2.336782813E-1
8.120850835E-1,5.869705677E-1,-1.486908078E0,4.056574702E-1
8.220670833E-1,6.246236563E-1,-1.398528695E0,6.000834107E-1
8.320500834E-1,6.683642864E-1,-1.230170727E0,8.503995538E-1
8.420330833E-1,6.879802942E-1,-1.064372182E0,1.099004507E0
8.520160834E-1,5.936712623E-1,-1.217623234E0,1.233487725E0
8.619990833E-1,3.829489052E-1,-1.511818647E0,1.275239110E0
8.719810834E-1,1.066447273E-1,-1.622655272E0,1.233131170E0
8.819640835E-1,-1.594098657E-1,-1.395680189E0,1.007676244E0
8.919470834E-1,-2.923709154E-1,-6.841701865E-1,5.791096687E-1
9.019300835E-1,-3.072652966E-2,6.564272642E-1,-1.002877727E-1
9.119120834E-1,5.504373908E-1,1.801066875E0,-9.611814022E-1
9.218950835E-1,9.079100490E-1,2.364609718E0,-1.692027330E0
9.318780834E-1,9.220818281E-1,2.534619808E0,-2.177113771E0
9.418610835E-1,6.761716604E-1,2.363524914E0,-2.433269978E0
9.518430834E-1,3.272414505E-1,1.851338625E0,-2.336812735E0
9.618260835E-1,5.785631016E-2,1.202978730E0,-1.991380930E0
9.718090834E-1,-1.486230940E-1,4.515659809E-1,-1.455735087E0
9.817920835E-1,-3.899624944E-1,-5.083706975E-1,-7.449802160E-1
9.917750834E-1,-4.005337059E-1,-1.360377669E0,6.395510584E-2
1.001757083E0,-1.050432175E-1,-1.843937993E0,5.739457011E-1
1.011740083E0,1.518275142E-1,-2.096860170E0,5.806086659E-1
1.021723083E0,2.110271901E-1,-2.384385347E0,4.808194935E-1
1.031706083E0,1.160431802E-1,-2.336408854E0,5.737162232E-1
1.041688083E0,-1.811600029E-1,-1.790359259E0,8.446348310E-1
1.051671083E0,-4.305989444E-1,-1.232409358E0,1.189233184E0
1.061654083E0,-4.297352731E-1,-8.859528303E-1,1.501004934E0
1.071637083E0,-3.097591996E-1,-7.284916043E-1,1.729624867E0
1.081620083E0,-1.676449329E-1,-6.499816179E-1,1.849887371E0
1.091602084E0,-9.816919453E-3,-5.813229680E-1,1.836607218E0
1.101585083E0,1.569374502E-1,-5.148070455E-1,1.708231449E0
1.111568084E0,3.169956803E-1,-3.991313577E-1,1.564776659E0
1.121551083E0,4.336248338E-1,-2.227355540E-1,1.475642204E0
1.131533084E0,4.656166732E-1,-5.476402491E-2,1.463019729E0
1.141516083E0,4.223285913E-1,6.161557883E-2,1.509599447E0
1.151499083E0,3.504025936E-1,1.148221716E-1,1.576277375E0
1.161482083E0,3.323567510E-1,1.349942833E-1,1.659349442E0
1.171465083E0,4.116848409E-1,1.376419961E-1,1.780264378E0
1.181447083E0,5.775712729E-1,1.227024645E-1,1.913667202E0
1.191430083E0,7.953372002E-1,8.523422480E-2,2.021972895E0
1.201413083E0,9.976493120E-1,1.092537120E-2,2.083321571E0
1.211396083E0,1.126532555E0,-6.411655247E-2,2.067600012E0
1.221378083E0,1.160481811E0,-1.009070575E-1,1.960242867E0
1.231361083E0,1.126199126E0,-5.526234210E-2,1.770634532E0
1.241344083E0,1.059871554E0,1.729945242E-1,1.526688218E0
1.251327083E0,9.891198277E-1,5.914433002E-1,1.267892957E0
1.261310083E0,8.983486295E-1,1.110373735E0,1.004320145E0
1.271292083E0,7.841954827E-1,1.540559530E0,7.517160177E-1
1.281275083E0,6.649913192E-1,1.729568601E0,5.382192135E-1
1.291258083E0,5.595937371E-1,1.701757550E0,3.746931255E-1
1.301241083E0,4.720380604E-1,1.549651384E0,2.557286620E-1
1.311223083E0,3.960062563E-1,1.304369450E0,2.298734784E-1
1.321206084E0,3.219488263E-1,9.515173435E-1,2.763173878E-1
1.331189083E0,2.537373602E-1,5.283690691E-1,3.696737885E-1
1.341172084E0,2.037154883E-1,1.194595993E-1,4.926969409E-1
1.351155083E0,1.849163622E-1,-2.242485136E-1,6.340121031E-1
1.361137083E0,2.127003223E-1,-4.566172957E-1,7.743516564E-1
1.371120083E0,2.800621390E-1,-5.866071582E-1,8.987285495E-1
1.381103083E0,3.918888271E-1,-6.364258528E-1,9.930574894E-1
1.391086083E0,5.505169034E-1,-6.649181843E-1,1.038483381E0
1.401069083E0,7.603753209E-1,-6.488830447E-1,1.067851663E0
1.411051083E0,1.008643508E0,-5.431271195E-1,1.110916376E0
1.421034083E0,1.253751755E0,-3.444893658E-1,1.141094804E0
1.431017083E0,1.441130519E0,-7.525740564E-2,1.127975345E0
1.441000083E0,1.507575154E0,1.479762048E-1,1.020453095E0
1.450982083E0,1.412185550E0,3.314197063E-1,8.547224998E-1
1.460965083E0,1.122307420E0,4.748778045E-1,7.075448036E-1
1.470948083E0,6.708579659E-1,4.513680935E-1,6.505790353E-1
1.480931083E0,1.929406822E-1,2.731360495E-1,6.894140840E-1
1.490914083E0,-1.728727371E-1,2.191226371E-2,7.782720327E-1
1.500896083E0,-3.580343425E-1,-2.133817375E-1,8.487949371E-1
1.510879083E0,-3.954227865E-1,-4.051566124E-1,8.643062115E-1
1.520862083E0,-3.430935144E-1,-5.412558317E-1,8.282475471E-1
1.530845083E0,-2.450215220E-1,-6.168028116E-1,7.466179132E-1
1.540827083E0,-1.225560606E-1,-6.351000667E-1,6.479067802E-1
1.550810084E0,1.621958241E-2,-6.923322082E-1,5.323153734E-1
1.560793083E0,1.887096018E-1,-8.205170631E-1,3.872106969E-1
1.570776084E0,3.511409461E-1,-9.948469400E-1,1.851940602E-1
1.580759083E0,4.596224129E-1,-1.116263986E0,-6.120027602E-2
1.590741083E0,5.133875012E-1,-1.008712053E0,-2.764956951E-1
1.600724083E0,5.093552470E-1,-5.867118239E-1,-4.187124670E-1
1.610707083E0,4.679980576E-1,-1.194412559E-1,-5.650032163E-1
1.620690083E0,3.759706616E-1,1.052134261E-1,-7.638193965E-1
1.630673083E0,2.663784921E-1,1.729378700E-1,-9.687998891E-1
