"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780854514867540E9,"2026-06-07 7:48:34.868 UTC+02:00"
"PAUSE",1.800239820416682E2,1.780854694899940E9,"2026-06-07 7:51:34.900 UTC+02:00"
