"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780755859828528E9,"2026-06-06 16:24:19.829 UTC+02:00"
"PAUSE",1.805906875416404E2,1.780756040413947E9,"2026-06-06 16:27:20.414 UTC+02:00"
