"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780752987123216E9,"2026-06-06 15:36:27.123 UTC+02:00"
"PAUSE",1.806418030416826E2,1.780753167764969E9,"2026-06-06 15:39:27.765 UTC+02:00"
