"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.928083297E-3,1.090484262E0,2.478332967E-1,8.329670131E-2
1.291008340E-2,1.132057071E0,3.309376240E-1,6.826184690E-2
2.289208327E-2,1.097745180E0,3.189360499E-1,9.393445402E-2
3.287408338E-2,1.039072871E0,2.061021626E-1,1.329996139E-1
4.285608348E-2,9.952488542E-1,-1.524860784E-2,1.928355098E-1
5.283808336E-2,9.883295894E-1,-2.220552862E-1,2.445701808E-1
6.282008346E-2,9.952487946E-1,-3.259223104E-1,2.785015404E-1
7.280208333E-2,9.840813279E-1,-3.132535517E-1,3.176411688E-1
8.278408344E-2,9.641183019E-1,-1.913377494E-1,3.258615434E-1
9.276608331E-2,9.001213908E-1,-8.727853745E-2,3.791766763E-1
1.027480834E-1,8.207002878E-1,-9.659693390E-2,4.210295975E-1
1.127300833E-1,7.661626339E-1,-1.803812981E-1,4.340688288E-1
1.227120834E-1,7.514652014E-1,-3.361809850E-1,4.307539761E-1
1.326940833E-1,7.581912279E-1,-4.397622049E-1,4.638394415E-1
1.426760834E-1,7.518449426E-1,-4.845717549E-1,5.024313331E-1
1.526577084E-1,7.242603302E-1,-4.839587808E-1,5.357868075E-1
1.626397085E-1,6.578213573E-1,-4.114243984E-1,5.600847006E-1
1.726217084E-1,5.301580429E-1,-2.709027231E-1,5.689018965E-1
1.826037085E-1,3.793677092E-1,-1.127908528E-1,5.455627441E-1
1.925857083E-1,3.041207790E-1,-5.349012837E-2,4.908392131E-1
2.025677084E-1,3.051897883E-1,-1.028305143E-1,4.269489348E-1
2.125497083E-1,2.743945718E-1,-1.896188706E-1,3.706758916E-1
2.225317084E-1,2.122947276E-1,-2.507368326E-1,3.390905261E-1
2.325137083E-1,1.744275838E-1,-2.727294266E-1,3.114243448E-1
2.424947084E-1,2.169223130E-1,-1.799565852E-1,2.694950104E-1
2.524767083E-1,3.201266527E-1,4.155168310E-2,1.595609337E-1
2.624587084E-1,4.665376544E-1,3.208706677E-1,-1.736803539E-2
2.724407085E-1,6.172963977E-1,5.766649246E-1,-1.284368783E-1
2.824227083E-1,6.633304954E-1,7.089560628E-1,-1.504449695E-1
2.924047085E-1,5.062848926E-1,7.468022704E-1,-8.781998605E-2
3.023867083E-1,1.940122247E-1,6.719086170E-1,-3.956563771E-2
3.123687084E-1,-1.247670501E-1,5.144165158E-1,3.073650971E-2
3.223507083E-1,-4.370996356E-1,4.030032158E-1,7.993575186E-2
3.323327084E-1,-8.068867922E-1,3.852307498E-1,6.198606268E-2
3.423147083E-1,-1.224665999E0,4.156475067E-1,-6.066022813E-2
3.522967084E-1,-1.557969809E0,5.740388632E-1,-2.966835797E-1
3.622787085E-1,-1.703854322E0,7.912364602E-1,-4.993264377E-1
3.722607084E-1,-1.750838399E0,1.175070286E0,-6.026461124E-1
3.822427085E-1,-1.822103024E0,1.697875381E0,-5.924829245E-1
3.922247083E-1,-1.886474848E0,2.280044556E0,-6.279800534E-1
4.022067084E-1,-1.877340555E0,2.549234390E0,-6.694952250E-1
4.121887083E-1,-1.833535075E0,2.426708698E0,-7.436456084E-1
4.221707084E-1,-1.754684448E0,2.206218958E0,-9.061405063E-1
4.321527083E-1,-1.645491719E0,1.948470831E0,-1.006668329E0
4.421347084E-1,-1.454601884E0,1.753681898E0,-1.009221792E0
4.521167083E-1,-1.255400896E0,1.684368014E0,-8.984014392E-1
4.620987084E-1,-1.100430727E0,1.822101712E0,-7.619109750E-1
4.720807085E-1,-1.019847274E0,2.143696070E0,-7.798126936E-1
4.820617083E-1,-9.362287521E-1,2.577570200E0,-8.899562359E-1
4.920437085E-1,-8.234205246E-1,2.717033625E0,-9.472987056E-1
5.020257083E-1,-7.915834785E-1,2.614914417E0,-9.245768785E-1
5.120077084E-1,-8.888909221E-1,2.450635195E0,-9.074435830E-1
5.219897083E-1,-1.169602752E0,2.127308130E0,-9.451429844E-1
5.319717084E-1,-1.662609100E0,1.713832140E0,-9.920995831E-1
5.419537083E-1,-2.077600718E0,1.251661062E0,-1.006483793E0
5.519357084E-1,-2.299642086E0,8.013740778E-1,-1.012664318E0
5.619177085E-1,-2.334454298E0,4.699479342E-1,-1.005429626E0
5.718997084E-1,-2.233329058E0,3.192172647E-1,-1.017675400E0
5.818817085E-1,-2.020935297E0,2.215911150E-1,-1.000882030E0
5.918637083E-1,-1.855940700E0,4.098841920E-2,-9.660140872E-1
6.018457084E-1,-1.897045255E0,-2.637483180E-1,-9.368567467E-1
6.118277083E-1,-2.003221750E0,-4.557994008E-1,-9.299045205E-1
6.218097084E-1,-2.067927599E0,-5.811221600E-1,-9.321413040E-1
6.317917083E-1,-2.116135597E0,-8.889904618E-1,-9.213576913E-1
6.417737084E-1,-2.020804405E0,-1.092919827E0,-9.447306395E-1
6.517557083E-1,-1.904812813E0,-1.311449528E0,-9.496953487E-1
6.617377084E-1,-1.791467786E0,-1.586063266E0,-8.785676360E-1
6.717197085E-1,-1.565657616E0,-1.723133326E0,-8.146168590E-1
6.817017084E-1,-1.189315677E0,-1.727186322E0,-7.618244886E-1
6.916837085E-1,-7.109509110E-1,-1.654219031E0,-6.616369486E-1
7.016657083E-1,-3.155479729E-1,-1.731177211E0,-5.568157434E-1
7.116477084E-1,4.624229856E-3,-1.830539227E0,-3.985982537E-1
7.216297083E-1,2.782773376E-1,-1.923662186E0,-2.169996947E-1
7.316117084E-1,5.159392953E-1,-1.970611811E0,-2.084328607E-2
7.415937083E-1,6.868430972E-1,-1.960222840E0,2.364710718E-1
7.515747084E-1,8.484308124E-1,-1.797602654E0,4.466844499E-1
7.615567085E-1,1.009528875E0,-1.481743217E0,5.785122514E-1
7.715387084E-1,1.139367104E0,-1.104904294E0,6.626179218E-1
7.815207085E-1,1.155551434E0,-8.506376147E-1,6.972283721E-1
7.915027083E-1,1.064514875E0,-7.897514105E-1,6.457752585E-1
8.014847084E-1,9.913989305E-1,-8.507705331E-1,5.006489158E-1
8.114667083E-1,9.302506447E-1,-9.564737082E-1,3.585559130E-1
8.214487084E-1,8.632707596E-1,-1.213672400E0,3.384690285E-1
8.314307083E-1,7.274459004E-1,-1.355925322E0,3.345419466E-1
8.414127084E-1,4.300629199E-1,-1.263532281E0,2.248670906E-1
8.513947083E-1,4.666790739E-2,-9.962381124E-1,1.215893403E-1
8.613767084E-1,-3.179545105E-1,-6.671957970E-1,-5.992612615E-2
8.713587085E-1,-5.478077531E-1,-3.347831070E-1,-2.369167507E-1
8.813407084E-1,-6.858934164E-1,-1.548152119E-1,-3.533570766E-1
8.913227085E-1,-7.209758759E-1,-1.436764300E-1,-4.643065929E-1
9.013047083E-1,-5.973218679E-1,-2.486105710E-1,-5.138916969E-1
9.112867084E-1,-4.613532126E-1,-3.627176285E-1,-5.020009875E-1
9.212687083E-1,-3.571959436E-1,-5.044404268E-1,-4.095379114E-1
9.312507084E-1,-2.171686143E-1,-6.739850044E-1,-2.127786875E-1
9.412327083E-1,-5.029041320E-2,-9.255919456E-1,7.227987517E-3
9.512147084E-1,5.084462464E-2,-1.119762301E0,1.559196860E-1
9.611967083E-1,2.200733274E-1,-1.171223640E0,2.381394506E-1
9.711787084E-1,4.303789735E-1,-1.123257041E0,2.960553765E-1
9.811607085E-1,4.623893797E-1,-8.504424691E-1,3.097277880E-1
9.911427083E-1,1.766038388E-1,-2.458485216E-2,1.453260481E-1
1.001124708E0,-1.837378293E-1,9.866831899E-1,-1.624633372E-2
1.011106708E0,-4.338272288E-2,1.499881625E0,-9.560569376E-2
1.021088708E0,5.299156904E-1,1.343364477E0,-1.168404073E-1
1.031070708E0,1.165147424E0,1.001506686E0,-2.053872868E-2
1.041051708E0,1.642969489E0,6.736490130E-1,1.596028060E-1
1.051033708E0,1.851865768E0,4.250213206E-1,3.841176629E-1
1.061015708E0,1.850258827E0,3.876425028E-1,5.651847124E-1
1.070997708E0,1.800062180E0,5.697183013E-1,7.637974024E-1
1.080979708E0,1.731582999E0,7.691592574E-1,9.841095805E-1
1.090961708E0,1.636812568E0,8.192977309E-1,1.089787841E0
1.100943708E0,1.537942171E0,6.923408508E-1,1.032771230E0
1.110925708E0,1.494161487E0,3.525323570E-1,8.939578533E-1
1.120907708E0,1.559917331E0,-2.381240129E-1,7.886482477E-1
1.130889708E0,1.667977810E0,-9.557294250E-1,6.508724093E-1
1.140871708E0,1.674931288E0,-1.572143316E0,3.305053711E-1
1.150853708E0,1.602400303E0,-1.886024833E0,4.811699502E-3
1.160835708E0,1.485982299E0,-1.621960402E0,-5.982641503E-2
1.170817708E0,1.278503060E0,-5.985857844E-1,-5.593105778E-2
1.180799708E0,1.038324356E0,1.414880008E-1,-1.649366319E-1
1.190781708E0,9.663720727E-1,2.431249321E-1,-2.378630936E-1
1.200763708E0,1.021205544E0,6.303291768E-2,-1.793827266E-1
1.210745708E0,9.991736412E-1,-7.837624848E-2,-8.112569153E-2
1.220727708E0,8.782022595E-1,-1.230598241E-1,-4.587662220E-2
1.230709708E0,7.969248295E-1,-8.930419385E-2,-4.102960601E-2
1.240691708E0,7.970073819E-1,-7.915968448E-2,-1.533489302E-2
1.250673708E0,8.328149319E-1,-9.758120030E-2,2.653715666E-3
1.260655708E0,8.883642554E-1,-1.340691745E-1,2.987122163E-2
1.270637708E0,9.207390547E-1,-9.662088752E-2,4.938489199E-2
1.280619708E0,9.476644397E-1,8.528873324E-2,4.665408656E-2
1.290601708E0,9.433661103E-1,2.006412446E-1,4.491293430E-2
1.300583708E0,9.066928029E-1,1.422226727E-1,7.326494157E-2
1.310565708E0,8.182773590E-1,-5.944987759E-2,1.166357696E-1
1.320547708E0,7.009347081E-1,-3.208574951E-1,1.867743731E-1
1.330529708E0,6.440306902E-1,-4.821601212E-1,2.737169862E-1
1.340511708E0,6.420953870E-1,-5.857712030E-1,3.522621393E-1
1.350493708E0,6.840244532E-1,-6.018596888E-1,4.095866084E-1
1.360475708E0,7.162945271E-1,-5.811656117E-1,4.446732104E-1
1.370457708E0,7.350527048E-1,-5.284281969E-1,4.520535767E-1
1.380439708E0,7.543044090E-1,-4.692879021E-1,5.204150677E-1
1.390421708E0,7.819124460E-1,-4.272070527E-1,5.353190899E-1
1.400402708E0,8.213120699E-1,-4.495014250E-1,5.130543113E-1
1.410384708E0,8.556427956E-1,-4.723628461E-1,5.076913834E-1
1.420366708E0,8.379921913E-1,-4.513443708E-1,5.092013478E-1
1.430348708E0,7.373107672E-1,-4.008410573E-1,5.171982646E-1
1.440330708E0,5.453269482E-1,-3.741140962E-1,5.172584653E-1
1.450312708E0,3.259071410E-1,-4.040426016E-1,4.840798974E-1
1.460294708E0,1.765781045E-1,-4.942952693E-1,3.789412081E-1
1.470276708E0,1.454687268E-1,-5.215149522E-1,3.041335940E-1
1.480258708E0,1.353583038E-1,-4.179739356E-1,2.465014607E-1
1.490240708E0,4.673720151E-2,-2.807590961E-1,2.045240849E-1
1.500222708E0,-5.272387341E-2,-1.971675158E-1,1.700017899E-1
1.510204708E0,-4.374124855E-2,-1.742783338E-1,1.376384944E-1
1.520186708E0,1.111228988E-1,-1.063312516E-1,7.324379683E-2
1.530168708E0,3.847156465E-1,8.210434765E-2,-2.902464941E-2
1.540150708E0,6.471613646E-1,4.063540399E-1,-1.188413575E-1
1.550132708E0,8.065521717E-1,7.759288549E-1,-1.521449536E-1
1.560114708E0,8.273983002E-1,1.011769533E0,-9.758209437E-2
1.570096708E0,6.822139025E-1,1.072117090E0,-3.214110434E-2
1.580078708E0,4.442245066E-1,9.789508581E-1,3.035502695E-2
1.590060708E0,1.780561209E-1,7.769202590E-1,9.468783438E-2
1.600042708E0,-2.404380739E-1,5.899705887E-1,6.156929210E-2
1.610024708E0,-7.844269276E-1,5.412456393E-1,4.320993274E-2
1.620006708E0,-1.281756282E0,4.997120500E-1,-6.719859689E-2
1.629988708E0,-1.618328333E0,3.819028437E-1,-2.653996944E-1
1.639970708E0,-1.800605655E0,3.250046670E-1,-5.097577572E-1
1.649952708E0,-1.926276207E0,5.755867958E-1,-6.915589571E-1
1.659934708E0,-2.089547396E0,1.023669481E0,-7.205421925E-1
1.669916708E0,-2.276257753E0,1.451157570E0,-6.619282961E-1
1.679898708E0,-2.387608051E0,1.648010731E0,-5.915361047E-1
1.689880708E0,-2.399905443E0,1.633521438E0,-5.956935883E-1
1.699862708E0,-2.239999533E0,1.726653814E0,-7.400672436E-1
1.709844708E0,-1.952403069E0,1.902013063E0,-9.231646061E-1
1.719826708E0,-1.637266397E0,2.054583549E0,-1.004673839E0
1.729808708E0,-1.327883005E0,2.225604296E0,-9.407725930E-1
1.739790708E0,-1.046197534E0,2.276005507E0,-7.333967686E-1
1.749772708E0,-8.599832058E-1,2.302536488E0,-6.586145759E-1
1.759754708E0,-8.367141485E-1,2.446238518E0,-6.727990508E-1
1.769736708E0,-8.573725820E-1,2.591065168E0,-6.508254409E-1
1.779718708E0,-8.340478539E-1,2.640179396E0,-6.524329185E-1
1.789700708E0,-8.198173642E-1,2.440352917E0,-7.513380051E-1
1.799682708E0,-9.238742590E-1,2.161194801E0,-8.504885435E-1
1.809664708E0,-1.025662899E0,1.895885587E0,-9.340948462E-1
1.819646708E0,-1.301113129E0,1.591540575E0,-1.002819061E0
1.829628708E0,-1.561131120E0,1.191138864E0,-1.019204021E0
1.839610708E0,-1.618650794E0,7.904042006E-1,-1.072375298E0
1.849592708E0,-1.605576396E0,5.593371987E-1,-1.151387691E0
1.859574708E0,-1.585330009E0,3.297098577E-1,-1.141348124E0
1.869555708E0,-1.534889698E0,3.885417804E-2,-1.068990707E0
1.879537708E0,-1.569307566E0,-3.873083293E-1,-9.911282659E-1
1.889519708E0,-1.659010768E0,-7.290152907E-1,-9.092487693E-1
1.899501708E0,-1.634871602E0,-9.478600025E-1,-7.692708969E-1
1.909483708E0,-1.520631790E0,-1.105148315E0,-7.085748911E-1
1.919465708E0,-1.381486893E0,-1.341136098E0,-7.425374389E-1
1.929447708E0,-1.181735277E0,-1.374997854E0,-7.337553501E-1
1.939429708E0,-9.899525642E-1,-1.444487453E0,-7.126665711E-1
1.949411708E0,-7.346729636E-1,-1.544834495E0,-7.007036805E-1
1.959393708E0,-4.273542762E-1,-1.672626615E0,-6.152881384E-1
1.969375708E0,-1.436450183E-1,-1.753986597E0,-5.087227225E-1
1.979357708E0,1.039794236E-1,-1.767007113E0,-3.931428790E-1
1.989339708E0,3.459309340E-1,-1.713674307E0,-2.821895480E-1
1.999321708E0,6.319541931E-1,-1.596198797E0,-1.877794415E-1
2.009303708E0,9.553530216E-1,-1.496890664E0,-5.423475523E-3
2.019285708E0,1.165911555E0,-1.562624097E0,2.287312299E-1
2.029267708E0,1.267190218E0,-1.605230927E0,4.376807809E-1
2.039249708E0,1.338135242E0,-1.514952660E0,6.209132075E-1
2.049231708E0,1.345175862E0,-1.366566896E0,8.255449533E-1
2.059213708E0,1.261274815E0,-1.263656497E0,9.575341344E-1
2.069195708E0,1.072545767E0,-1.223211169E0,9.002684951E-1
2.079177708E0,9.223813415E-1,-1.155385494E0,7.319120169E-1
2.089159708E0,6.833079457E-1,-1.229753017E0,6.039274335E-1
2.099141708E0,4.242268503E-1,-1.335887790E0,5.356820822E-1
2.109123708E0,1.694000512E-1,-1.361030221E0,3.806527853E-1
2.119105708E0,-1.196682528E-1,-9.512426853E-1,1.687863618E-1
2.129087708E0,-4.155774713E-1,-3.310000002E-1,-1.358609498E-1
2.139069708E0,-8.426619768E-1,9.971890599E-2,-5.050866604E-1
2.149051708E0,-1.317852616E0,3.578867018E-1,-7.824190855E-1
2.159033958E0,-1.683141947E0,2.990676165E-1,-9.560915232E-1
2.169015958E0,-1.757549286E0,-1.008058265E-1,-1.032904148E0
2.178997958E0,-1.592041731E0,-5.074796081E-1,-1.054014802E0
2.188979958E0,-1.320461035E0,-7.686135769E-1,-9.959937930E-1
2.198961958E0,-1.102231860E0,-9.618458748E-1,-7.934188843E-1
2.208943958E0,-9.145223498E-1,-1.054070830E0,-5.466679931E-1
2.218925958E0,-6.927390695E-1,-1.117040753E0,-2.387512028E-1
2.228907958E0,-3.868116140E-1,-1.267387748E0,5.999987572E-2
2.238889958E0,-1.253994405E-1,-1.424176812E0,2.864902616E-1
2.248871958E0,1.033957303E-1,-1.475026608E0,4.419495463E-1
2.258853958E0,3.710242510E-1,-1.474519014E0,5.221780539E-1
2.268835958E0,5.828155279E-1,-1.443478942E0,5.413699150E-1
2.278817958E0,5.511987209E-1,-1.153861523E0,4.427959621E-1
2.288798958E0,1.965232939E-1,-2.783078849E-1,2.004032135E-1
2.298781958E0,-1.379388422E-1,6.291693449E-1,-1.338743716E-1
2.308762958E0,6.686971337E-2,9.419416189E-1,-2.795080543E-1
2.318744958E0,5.794166327E-1,7.820742130E-1,-2.547204196E-1
2.328726958E0,9.713742733E-1,6.912113428E-1,-1.977227628E-1
2.338708958E0,1.089512348E0,7.179825306E-1,-9.913200885E-2
2.348690958E0,1.105870843E0,5.778527856E-1,6.019038334E-2
2.358672958E0,1.176582217E0,2.941782176E-1,2.452443987E-1
2.368654958E0,1.312133074E0,1.657345146E-1,4.949927032E-1
2.378636958E0,1.473725915E0,3.133806884E-1,7.562373281E-1
2.388618958E0,1.596403360E0,5.901357532E-1,9.376070499E-1
2.398600958E0,1.679597616E0,7.837254405E-1,9.647795558E-1
2.408582958E0,1.711369991E0,6.797209978E-1,8.751817942E-1
2.418564958E0,1.741055965E0,2.848274708E-1,7.766216993E-1
2.428546958E0,1.807505012E0,-3.121639788E-1,7.249451280E-1
2.438528958E0,1.791892409E0,-1.062627554E0,6.669361591E-1
2.448510958E0,1.863611579E0,-1.398709059E0,4.670381844E-1
2.458492958E0,1.883541584E0,-1.209381461E0,1.675745100E-1
2.468474958E0,1.714893103E0,-7.033209205E-1,3.473014385E-2
2.478456958E0,1.396880507E0,-3.904841095E-2,-8.587503806E-3
2.488438958E0,1.140371323E0,4.141597748E-1,-4.660732299E-2
2.498420958E0,1.077862740E0,4.614122510E-1,-3.254663199E-2
2.508402958E0,1.067266107E0,2.680345476E-1,2.899604291E-2
2.518384958E0,1.052167416E0,1.264558583E-1,7.801765203E-2
2.528366958E0,1.000256062E0,2.954223379E-2,1.078213230E-1
2.538348958E0,9.425660372E-1,-1.095312387E-1,1.503413618E-1
2.548330958E0,9.106798768E-1,-2.697882354E-1,1.771165282E-1
2.558312958E0,8.993806243E-1,-3.667493761E-1,1.761415452E-1
2.568294958E0,8.797773123E-1,-3.511067927E-1,1.808455735E-1
2.578276958E0,8.707689047E-1,-2.291771621E-1,1.826530695E-1
2.588258958E0,8.653889894E-1,-9.980778396E-2,1.625855565E-1
2.598240958E0,8.397392631E-1,-6.745143980E-2,1.484598815E-1
2.608222958E0,8.260672688E-1,-1.122299880E-1,1.511133611E-1
2.618204958E0,8.531997800E-1,-1.901197284E-1,1.711661667E-1
2.628186958E0,8.481642008E-1,-3.168442547E-1,2.028211653E-1
2.638168958E0,8.024702668E-1,-4.371751845E-1,2.471079379E-1
2.648150958E0,7.433764935E-1,-4.804279506E-1,3.170334697E-1
