"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780764218547927E9,"2026-06-06 18:43:38.548 UTC+02:00"
"PAUSE",1.807402103750501E2,1.780764399287484E9,"2026-06-06 18:46:39.287 UTC+02:00"
