"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.781465466465740E9,"2026-06-14 21:31:06.466 UTC+02:00"
"PAUSE",1.800934439166449E2,1.781465646561832E9,"2026-06-14 21:34:06.562 UTC+02:00"
