"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.781465228986386E9,"2026-06-14 21:27:08.986 UTC+02:00"
"PAUSE",1.800846579582430E2,1.781465409092793E9,"2026-06-14 21:30:09.093 UTC+02:00"
