"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.675983333E-1,1.456949264E-1,6.126693487E-1,6.595064998E-1
7.775813332E-1,1.528878808E-1,7.724772692E-1,5.578597784E-1
7.875643333E-1,1.900597513E-1,8.234860897E-1,4.902929962E-1
7.975473332E-1,2.605882585E-1,7.361288071E-1,4.927396178E-1
8.075293333E-1,3.062894344E-1,5.642915368E-1,5.582136512E-1
8.175123332E-1,2.860261500E-1,3.138590455E-1,6.460071206E-1
8.274953333E-1,1.895227879E-1,5.472387373E-2,7.174628973E-1
8.374783332E-1,8.075508475E-2,-1.622542590E-1,7.358228564E-1
8.474613333E-1,2.695657313E-2,-3.245480955E-1,7.038601637E-1
8.574443331E-1,3.542898595E-2,-4.381017685E-1,6.581832170E-1
8.674263333E-1,1.058837101E-1,-4.874781072E-1,6.059812903E-1
8.774093334E-1,2.212740332E-1,-3.747254610E-1,5.409237742E-1
8.873927083E-1,3.085916340E-1,2.955251560E-2,4.185486138E-1
8.973757082E-1,3.774497509E-1,4.651425779E-1,2.306689173E-1
9.073587083E-1,4.555352330E-1,7.322344780E-1,4.797712713E-2
9.173407082E-1,5.589545965E-1,7.743683457E-1,-1.128337532E-1
9.273237083E-1,6.610881686E-1,6.249812245E-1,-2.754857838E-1
9.373067082E-1,7.074093819E-1,3.379636109E-1,-4.451269805E-1
9.472897083E-1,6.369873881E-1,2.161921188E-2,-5.580154657E-1
9.572727082E-1,4.299861491E-1,-2.585738003E-1,-6.710851789E-1
9.672547083E-1,1.600982249E-1,-5.396677852E-1,-8.254755139E-1
9.772377082E-1,-1.105889156E-1,-7.999761701E-1,-9.777121544E-1
9.872207083E-1,-3.400948048E-1,-1.067370653E0,-1.099378705E0
9.972037082E-1,-5.461549759E-1,-1.412695885E0,-1.176130414E0
1.007186708E0,-7.542788386E-1,-1.811443329E0,-1.237919450E0
1.017169708E0,-9.668990374E-1,-2.180133581E0,-1.310257077E0
1.027151708E0,-1.172453880E0,-2.412646055E0,-1.390531182E0
1.037134708E0,-1.392231941E0,-2.402909279E0,-1.496687770E0
1.047117708E0,-1.639584541E0,-2.116909504E0,-1.654225349E0
1.057100708E0,-1.849717855E0,-1.656752706E0,-1.786342978E0
1.067083708E0,-1.984454393E0,-1.122863531E0,-1.832136035E0
1.077065708E0,-2.166627169E0,-5.509134531E-1,-1.878345847E0
1.087048708E0,-2.393113613E0,1.071863770E-1,-2.003279209E0
1.097031708E0,-2.629124403E0,7.609928846E-1,-2.206604242E0
1.107014708E0,-2.845011950E0,1.334316969E0,-2.383179188E0
1.116997708E0,-2.998087645E0,1.699867964E0,-2.499940634E0
1.126979708E0,-2.999058723E0,1.834018826E0,-2.476400614E0
1.136962708E0,-2.786305428E0,1.759322047E0,-2.283820152E0
1.146945708E0,-2.239811420E0,1.232655287E0,-1.964613199E0
1.156928708E0,-1.562099218E0,6.554567218E-1,-1.574378371E0
1.166911708E0,-1.040982246E0,3.783382773E-1,-1.183466077E0
1.176893708E0,-7.277516723E-1,3.782473803E-1,-9.046672583E-1
1.186876708E0,-6.326674819E-1,6.140630841E-1,-7.883566022E-1
1.196859708E0,-6.208654046E-1,7.449634671E-1,-8.509238362E-1
1.206842708E0,-5.851840973E-1,6.307631731E-1,-1.014996052E0
1.216825708E0,-5.414283276E-1,4.264432490E-1,-1.144141197E0
1.226808708E0,-3.699390888E-1,1.749393791E-1,-1.143102050E0
1.236790708E0,-5.706115440E-2,-1.050841659E-1,-1.034820080E0
1.246773708E0,3.375346065E-1,-4.466233850E-1,-8.397582173E-1
1.256756708E0,7.456908822E-1,-8.386782408E-1,-6.031034589E-1
1.266739708E0,1.085220695E0,-1.183047891E0,-4.106549323E-1
1.276722708E0,1.312572122E0,-1.410227060E0,-2.428868711E-1
1.286704708E0,1.439651847E0,-1.539171219E0,-7.052309811E-2
1.296687708E0,1.497537851E0,-1.534890056E0,9.880366176E-2
1.306670708E0,1.498539925E0,-1.429114103E0,2.535522282E-1
1.316653708E0,1.453716397E0,-1.328293443E0,3.941674531E-1
1.326636708E0,1.357134461E0,-1.236085773E0,4.966698587E-1
1.336618708E0,1.233287215E0,-1.134559512E0,6.200718284E-1
1.346601708E0,1.101706505E0,-1.158235312E0,7.675499916E-1
1.356584708E0,9.840057492E-1,-1.313151002E0,9.291121364E-1
1.366567708E0,9.025588036E-1,-1.497666836E0,1.104263783E0
1.376550708E0,8.518345952E-1,-1.713357091E0,1.240059257E0
1.386533708E0,7.851766944E-1,-1.805604935E0,1.244075894E0
1.396515708E0,6.685330868E-1,-1.690786123E0,1.018076301E0
1.406498708E0,4.693278372E-1,-1.228806257E0,6.224562526E-1
1.416481708E0,2.655974030E-1,-3.958531618E-1,1.370019913E-1
1.426464708E0,2.011187971E-1,7.028057575E-1,-4.538479745E-1
1.436447708E0,2.853642106E-1,1.534045458E0,-1.315441489E0
1.446429708E0,2.000083029E-1,1.813698173E0,-2.126441717E0
1.456412708E0,-3.073120117E-1,1.977513909E0,-2.420907974E0
1.466395708E0,-9.319849610E-1,1.940530658E0,-2.063020468E0
1.476378708E0,-1.205019712E0,1.529377580E0,-1.323777080E0
1.486361708E0,-1.021589518E0,1.068792343E0,-7.631236315E-1
1.496344708E0,-6.280966997E-1,8.231316209E-1,-4.017633200E-1
1.506326708E0,-2.533603907E-1,7.561813593E-1,-1.159361079E-1
1.516309708E0,7.476251572E-2,7.055198550E-1,1.505567282E-1
1.526292708E0,4.359912872E-1,7.478920817E-1,4.276892841E-1
1.536275708E0,7.699251771E-1,8.011091352E-1,6.216177940E-1
1.546258708E0,1.109384298E0,6.096110940E-1,6.008323431E-1
1.556240708E0,1.233004808E0,-2.587040365E-1,4.522534907E-1
1.566223708E0,9.801821709E-1,-1.491627216E0,3.326733112E-1
1.576206708E0,5.432054996E-1,-2.162947416E0,3.111585677E-1
1.586189708E0,6.957538426E-2,-2.118124723E0,4.167380035E-1
1.596172708E0,-2.406429797E-1,-1.686037421E0,6.001296639E-1
1.606154708E0,-2.642982304E-1,-1.144546509E0,8.167437315E-1
1.616137708E0,-7.343178242E-2,-6.567600369E-1,1.038298249E0
1.626120708E0,2.330762148E-1,-2.426299900E-1,1.215934277E0
1.636103708E0,5.382740498E-1,2.083095610E-1,1.283578753E0
