"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.075666863E-3,-5.175741872E0,-1.836790531E0,2.581695399E0
8.906333242E-3,-3.315613934E0,-6.142032266E-2,1.978224152E0
1.888933335E-2,-1.143710119E0,1.695582027E0,1.065001919E0
2.887233323E-2,1.099446697E0,3.258912899E0,1.510265636E-1
3.885533335E-2,2.470926331E0,4.061430969E0,-5.798104888E-1
4.883833323E-2,2.498763170E0,4.212656338E0,-2.309837294E-1
5.882033333E-2,1.801724778E0,4.268938127E0,6.784816682E-1
6.880333321E-2,7.870463365E-1,4.033837373E0,1.278815299E0
7.878633332E-2,-7.865855759E-1,3.269392279E0,1.389022450E0
8.876933320E-2,-2.129424963E0,2.621517861E0,1.332417895E0
9.875133331E-2,-2.951935247E0,2.220475466E0,1.495260512E0
1.087343332E-1,-3.587550977E0,1.978834017E0,1.744333187E0
1.187173333E-1,-4.151724842E0,2.054441439E0,1.913444020E0
1.287003332E-1,-4.756266130E0,2.310905580E0,2.180878122E0
1.386833333E-1,-5.474179081E0,2.497896028E0,2.362789679E0
1.486653332E-1,-6.228661689E0,2.532212752E0,2.322861382E0
1.586483333E-1,-6.781328233E0,2.386151059E0,2.093996683E0
1.686313332E-1,-6.954766005E0,2.206584821E0,1.598240504E0
1.786143333E-1,-7.026414862E0,1.992758576E0,9.470419443E-1
1.885973332E-1,-6.980912415E0,1.716874663E0,4.129993665E-1
1.985793333E-1,-6.764510472E0,1.509225417E0,-5.342986858E-1
2.085623331E-1,-5.769706716E0,1.380650992E0,-2.245492194E0
2.185453332E-1,-3.568979636E0,1.168307016E0,-4.117166044E0
2.285283334E-1,-1.354887575E-1,6.589578152E-2,-5.678684864E0
2.385103332E-1,5.751044742E0,-2.021212882E0,-6.662648467E0
2.484933333E-1,1.354937393E1,-4.135367256E0,-3.087480723E0
2.584763332E-1,1.695487185E1,-4.907227789E0,1.226272366E0
2.684593333E-1,1.509391361E1,-3.965631942E0,-1.245005529E0
2.784423332E-1,1.145863649E1,-1.066104704E0,-5.279172685E0
2.884243333E-1,6.182433017E0,2.250200372E0,-6.084041920E0
2.984073332E-1,2.247950948E0,3.772896604E0,-4.446746693E0
3.083903333E-1,-2.426202732E-1,3.970168211E0,-2.380804950E0
3.183733332E-1,-1.906841928E0,3.504066771E0,-5.138381088E-1
3.283563333E-1,-2.810277092E0,2.560318564E0,1.284749054E0
3.383383332E-1,-2.880069458E0,1.412186195E0,1.722770995E0
3.483213333E-1,-1.920248424E0,-4.113715017E-1,2.253450254E0
3.583043332E-1,-5.921843666E-1,-2.648480542E0,3.647192577E0
3.682873333E-1,1.290041953E0,-4.769929903E0,4.306341012E0
3.782693332E-1,2.960876225E0,-7.187893909E0,3.479443561E0
3.882523333E-1,3.423083419E0,-9.215292560E0,1.020818786E-1
3.982353332E-1,3.006733013E0,-9.710162301E0,-2.644071157E0
4.082183333E-1,9.843308079E-1,-8.068882781E0,-1.137823727E0
4.182013331E-1,-1.679050779E0,-5.466349075E0,1.617301258E0
4.281833332E-1,-3.667467797E0,-3.008694170E0,2.794277941E0
4.381663334E-1,-4.652137744E0,-1.360698538E0,2.741629611E0
4.481493332E-1,-4.795752962E0,-3.530566353E-1,2.373831561E0
4.581323334E-1,-4.736839925E0,-1.389532328E-2,2.182753909E0
4.681143332E-1,-4.980527315E0,-3.655626601E-1,2.924424098E0
4.780973333E-1,-5.041259421E0,-6.597050893E-1,3.149585170E0
4.880803332E-1,-4.937906960E0,-5.839380383E-1,2.921727362E0
4.980633333E-1,-4.789150870E0,-1.011615086E-1,2.677680368E0
5.080463332E-1,-4.518767433E0,3.739440590E-1,2.527291735E0
5.180283333E-1,-4.032307157E0,6.510734296E-1,2.510876262E0
5.280113332E-1,-3.320423269E0,6.540882540E-1,2.574116238E0
5.379943333E-1,-2.278167604E0,3.820909846E-1,2.734104829E0
5.479773332E-1,-1.274002456E0,1.340637910E-1,2.830541788E0
5.579603333E-1,-4.157943356E-1,-1.913501322E-2,2.702111789E0
5.679423332E-1,4.661979192E-1,-1.594904083E-1,2.603808984E0
5.779253333E-1,1.170346525E0,-2.404111952E-1,2.598635952E0
5.879083332E-1,1.786809116E0,-1.297345126E-1,2.575880928E0
5.978913333E-1,2.197640920E0,1.542086184E-1,2.281921517E0
6.078733332E-1,2.237534133E0,6.274647117E-1,1.939622589E0
6.178563333E-1,2.156332680E0,1.062146139E0,1.575855609E0
