"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.781357671406429E9,"2026-06-13 15:34:31.406 UTC+02:00"
"PAUSE",1.806111625833437E2,1.781357852016636E9,"2026-06-13 15:37:32.017 UTC+02:00"
