"time_acc","acc_x","acc_y","acc_z","time_gyro","gyro_x","gyro_y","gyro_z"
3.882365834E-1,4.436773682E-1,-1.027643005E1,-1.211879883E0,3.869945835E-1,4.090427756E-1,-7.760868073E-1,5.572556853E-1
3.981815835E-1,5.110372925E-1,-9.486223297E0,2.194436646E-1,3.969405834E-1,3.316848576E-1,-8.746155500E-1,5.123335719E-1
4.081275836E-1,2.665956116E-1,-8.926686859E0,1.097368011E0,4.068855834E-1,4.376751781E-1,-6.510136127E-1,5.364649892E-1
4.180725834E-1,5.754034424E-1,-8.016429749E0,2.443069611E0,4.168305835E-1,7.312836647E-1,-1.127266511E-1,5.791338086E-1
4.280175834E-1,1.764979706E0,-7.641758881E0,3.617976379E0,4.267765835E-1,1.336534619E0,1.141093016E0,6.379529238E-1
4.379635835E-1,2.113005981E0,-5.930816803E0,4.229005737E0,4.367215834E-1,2.011957884E0,2.468171835E0,5.742600560E-1
4.479085836E-1,-6.309379578E-1,-6.360423431E0,-8.576115875E0,4.466675834E-1,5.546414256E-1,-2.370973587E0,7.257481664E-2
4.578545834E-1,-4.301604767E0,-1.133652557E1,-1.614093475E0,4.566125835E-1,1.033363342E0,-2.222378016E0,5.828387141E-1
4.677995834E-1,-2.608475647E0,-8.396788788E0,4.988675995E0,4.665575835E-1,1.496228695E0,-9.240995646E-1,1.035254121E0
4.777445835E-1,-2.068847809E0,-7.519014130E0,-5.054988098E-1,4.765035834E-1,1.490350604E0,-5.624215603E-1,1.282867551E0
4.876905833E-1,-1.669627991E0,-8.040529633E0,-6.372248840E-1,4.864485834E-1,1.468054295E0,-2.343118787E-1,1.419290662E0
4.976355834E-1,3.852987671E-1,-8.861721954E0,-4.650828552E-1,4.963945835E-1,1.281667352E0,1.626867950E-1,1.382576108E0
5.075815835E-1,2.143991547E0,-9.639205170E0,-8.433462524E-1,5.063395835E-1,1.104529023E0,5.190302134E-1,1.258016348E0
5.175265835E-1,2.601290588E0,-9.316625977E0,-3.071612549E-1,5.162845834E-1,1.076338291E0,9.634665847E-1,1.086882710E0
5.274715833E-1,2.900967407E0,-8.889713745E0,-1.993853760E-1,5.262305834E-1,1.031749010E0,1.242457032E0,8.671490550E-1
5.374175834E-1,3.054248657E0,-7.875572662E0,-6.460565186E-1,5.361755835E-1,8.949344158E-1,1.215134740E0,4.785456955E-1
5.473625835E-1,2.135159912E0,-7.735613708E0,-1.621128845E-1,5.461215836E-1,7.819106579E-1,1.272924542E0,1.802181154E-1
5.573085835E-1,5.186714172E-1,-8.285270691E0,4.676275635E-1,5.560665834E-1,7.326135635E-1,1.364702702E0,4.472498968E-2
5.672535833E-1,-5.415737915E-1,-8.109835510E0,5.254074097E-2,5.660115834E-1,7.013469934E-1,1.230985999E0,-3.063368052E-2
5.771985834E-1,-1.501527557E0,-7.947572937E0,-2.671943665E-1,5.759575835E-1,6.711660028E-1,1.037934899E0,-1.176917367E-2
5.871445835E-1,-2.169588318E0,-7.705376587E0,-1.531315613E-1,5.859025836E-1,6.746507287E-1,8.647514582E-1,6.095296517E-2
5.970895835E-1,-2.324067078E0,-7.323221283E0,-1.079255676E-1,5.958475834E-1,6.740522981E-1,7.334387302E-1,1.615930051E-1
6.070355834E-1,-2.832559662E0,-7.618108063E0,-7.319778442E-1,6.057935834E-1,6.286501884E-1,6.503968239E-1,3.641380966E-1
6.169805834E-1,-2.930905151E0,-8.045918427E0,-1.355431366E0,6.157385835E-1,5.198859572E-1,6.135405302E-1,6.154779792E-1
6.269255835E-1,-2.332599335E0,-8.029602356E0,-1.900597687E0,6.256845836E-1,3.475232422E-1,6.126545072E-1,8.506001830E-1
6.368715835E-1,-1.925595703E0,-7.565567322E0,-2.442171478E0,6.356295834E-1,1.273188740E-1,5.757703781E-1,1.032867908E0
6.468165834E-1,-1.322649536E0,-7.680378571E0,-2.268682251E0,6.455745834E-1,-7.919250429E-2,6.595182419E-1,1.162529826E0
6.567615834E-1,-3.339555359E-1,-8.543334045E0,-1.174757080E0,6.555205835E-1,-1.768011898E-1,7.570797205E-1,1.225554585E0
6.667075835E-1,1.061293030E0,-9.200617218E0,-5.538482666E-2,6.654655836E-1,-1.427225769E-1,7.495448589E-1,1.169672489E0
6.766525835E-1,2.697989502E0,-9.347611542E0,2.317181396E-1,6.754115834E-1,-4.252463207E-2,6.992667317E-1,9.903384447E-1
6.865985834E-1,4.005819855E0,-9.377100220E0,3.966751099E-2,6.853565834E-1,7.235268503E-2,7.834016085E-1,7.788642645E-1
6.965435834E-1,4.203708344E0,-9.064250793E0,-9.979747009E-1,6.953015835E-1,1.012740508E-1,8.487789035E-1,5.513705015E-1
7.064885835E-1,3.632795563E0,-8.803493042E0,-2.011517029E0,7.052475833E-1,4.979994521E-2,8.039925694E-1,3.819226325E-1
7.164345835E-1,3.033292236E0,-8.670419769E0,-1.241817627E0,7.151925834E-1,6.954588741E-2,7.559074163E-1,3.482535183E-1
7.263795834E-1,2.876119080E0,-8.830137634E0,-9.256750488E-1,7.251375834E-1,1.517728418E-1,5.720283985E-1,3.879154623E-1
7.363255834E-1,3.410807190E0,-9.448950806E0,-1.327738953E0,7.350835835E-1,2.671970725E-1,2.292591631E-1,4.140603542E-1
7.462705835E-1,5.382956085E0,-1.012853760E1,-1.452729034E0,7.450285833E-1,3.848693967E-1,-2.421360612E-1,2.974671423E-1
7.562155835E-1,7.245383148E0,-1.069840256E1,-1.188827820E0,7.549745834E-1,5.129445791E-1,-5.845993161E-1,1.648907959E-1
