"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780839707912150E9,"2026-06-07 15:41:47.912 UTC+02:00"
"PAUSE",6.901586937508546E1,1.780839776928080E9,"2026-06-07 15:42:56.928 UTC+02:00"
